Energy (in eV), SEEP yield of material al2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.20555854
400.0, 0.29602522
600.0, 0.3652653
800.0, 0.42348835
1000.0, 0.47465283
1200.0, 0.5207907
1400.0, 0.5631102
1600.0, 0.60239923
1800.0, 0.6392058
2000.0, 0.6739291
2200.0, 0.7068707
2400.0, 0.7382652
2600.0, 0.76829946
2800.0, 0.7971249
3000.0, 0.82486635
3200.0, 0.8516289
3400.0, 0.87750083
3600.0, 0.9025575
3800.0, 0.92686516
4000.0, 0.95048004
4200.0, 0.97345245
4400.0, 0.99582666
4600.0, 1.0176417
4800.0, 1.0389326
5000.0, 1.0597308
5200.0, 1.0800648
5400.0, 1.0999602
5600.0, 1.1194403
5800.0, 1.1385264
6000.0, 1.157238
6200.0, 1.1755933
6400.0, 1.1936083
6600.0, 1.2112987
6800.0, 1.2286782
7000.0, 1.24576
7200.0, 1.2625562
7400.0, 1.2790785
7600.0, 1.2953372
7800.0, 1.311342
8000.0, 1.3271027
8200.0, 1.3426274
8400.0, 1.3579247
8600.0, 1.3730023
8800.0, 1.3878676
9000.0, 1.4025273
9200.0, 1.4169878
9400.0, 1.4312551
9600.0, 1.4453356
9800.0, 1.4592345
10000.0, 1.472957
10200.0, 1.4865081
10400.0, 1.4998927
10600.0, 1.5131154
10800.0, 1.5261806
11000.0, 1.5390922
11200.0, 1.5518543
11400.0, 1.5644705
11600.0, 1.5769445
11800.0, 1.5892801
12000.0, 1.6014801
12200.0, 1.6135483
12400.0, 1.625487
12600.0, 1.6372998
12800.0, 1.6489892
13000.0, 1.6605582
13200.0, 1.6720093
13400.0, 1.6833448
13600.0, 1.6945674
13800.0, 1.7056793
14000.0, 1.7166828
14200.0, 1.7275804
14400.0, 1.7383738
14600.0, 1.7490649
14800.0, 1.7596567
15000.0, 1.7701498
15200.0, 1.7805467
15400.0, 1.7908491
15600.0, 1.8010587
15800.0, 1.8111774
16000.0, 1.8212066
16200.0, 1.8311478
16400.0, 1.8410027
16600.0, 1.8507729
16800.0, 1.8604597
17000.0, 1.8700646
17200.0, 1.8795888
17400.0, 1.8890338
17600.0, 1.8984007
17800.0, 1.9076909
18000.0, 1.9169056
18200.0, 1.9260459
18400.0, 1.9351128
18600.0, 1.9441077
18800.0, 1.9530318
19000.0, 1.9618862
