Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 70.0 degree
   X,       Y
0.0, 0.7889359
10.0, 0.560408
20.0, 0.3980768
30.0, 0.28276747
40.0, 0.20085935
50.0, 0.14267722
60.0, 0.23101382
70.0, 0.2775982
80.0, 0.309592
90.0, 0.3336733
100.0, 0.35278818
110.0, 0.3685202
120.0, 0.38181537
130.0, 0.39328018
140.0, 0.4033244
150.0, 0.41223678
160.0, 0.42022777
170.0, 0.42745537
180.0, 0.4340408
190.0, 0.4400793
200.0, 0.44564673
210.0, 0.45080456
220.0, 0.45560327
230.0, 0.46008474
240.0, 0.4642841
250.0, 0.46823114
260.0, 0.47195122
270.0, 0.47546622
280.0, 0.47879505
290.0, 0.4819542
300.0, 0.4849581
310.0, 0.48781952
320.0, 0.49054968
330.0, 0.4931586
340.0, 0.4956553
350.0, 0.49804765
360.0, 0.500343
370.0, 0.5025478
380.0, 0.50466794
390.0, 0.5067088
400.0, 0.5086752
410.0, 0.5105717
420.0, 0.5124023
430.0, 0.5141707
440.0, 0.5158804
450.0, 0.5175346
460.0, 0.51913613
470.0, 0.52068776
480.0, 0.52219206
490.0, 0.5236513
500.0, 0.52506757
510.0, 0.526443
520.0, 0.52777946
530.0, 0.5290787
540.0, 0.5303424
550.0, 0.53157204
560.0, 0.5327691
570.0, 0.53393495
580.0, 0.5350709
590.0, 0.53617805
600.0, 0.5372577
610.0, 0.53831077
620.0, 0.53933835
630.0, 0.54034144
640.0, 0.5413208
650.0, 0.54227746
660.0, 0.5432122
670.0, 0.5441256
680.0, 0.54501873
690.0, 0.545892
700.0, 0.54674625
710.0, 0.547582
720.0, 0.5483999
730.0, 0.54920053
740.0, 0.54998446
750.0, 0.55075216
760.0, 0.5515042
770.0, 0.55224097
780.0, 0.552963
790.0, 0.5536707
800.0, 0.55436456
810.0, 0.55504483
820.0, 0.555712
830.0, 0.55636644
840.0, 0.5570085
850.0, 0.5576385
860.0, 0.5582568
870.0, 0.55886364
880.0, 0.55945945
890.0, 0.5600444
900.0, 0.5606188
910.0, 0.56118304
920.0, 0.5617372
930.0, 0.56228167
940.0, 0.56281656
950.0, 0.5633422
960.0, 0.56385887
970.0, 0.56436664
980.0, 0.5648658
990.0, 0.5653566
1000.0, 0.5658392
1010.0, 0.5656718
1020.0, 0.56550467
1030.0, 0.5653378
1040.0, 0.5651711
1050.0, 0.5650047
1060.0, 0.5648385
1070.0, 0.5646726
1080.0, 0.5645069
1090.0, 0.5643414
1100.0, 0.5641762
1110.0, 0.5640112
1120.0, 0.56384647
1130.0, 0.56368196
1140.0, 0.5635177
1150.0, 0.56335366
1160.0, 0.5631898
1170.0, 0.56302625
1180.0, 0.56286293
1190.0, 0.56269985
1200.0, 0.56253695
1210.0, 0.56237435
1220.0, 0.56221193
1230.0, 0.56204975
1240.0, 0.56188786
1250.0, 0.56172615
1260.0, 0.5615647
1270.0, 0.56140345
1280.0, 0.56124246
1290.0, 0.5610817
1300.0, 0.5609212
1310.0, 0.5607609
1320.0, 0.5606008
1330.0, 0.560441
1340.0, 0.5602814
1350.0, 0.5601221
1360.0, 0.5599629
1370.0, 0.559804
1380.0, 0.55964535
1390.0, 0.5594869
1400.0, 0.5593287
1410.0, 0.5591707
1420.0, 0.55901295
1430.0, 0.5588555
1440.0, 0.5586982
1450.0, 0.5585411
1460.0, 0.55838424
1470.0, 0.55822766
1480.0, 0.5580713
1490.0, 0.55791515
1500.0, 0.5577592
1510.0, 0.55760354
1520.0, 0.5574481
1530.0, 0.5572928
1540.0, 0.55713785
1550.0, 0.55698305
1560.0, 0.5568285
1570.0, 0.5566742
1580.0, 0.55652004
1590.0, 0.55636615
1600.0, 0.55621254
1610.0, 0.5560591
1620.0, 0.5559059
1630.0, 0.55575293
1640.0, 0.55560017
1650.0, 0.55544764
1660.0, 0.55529535
1670.0, 0.5551433
1680.0, 0.5549914
1690.0, 0.5548398
1700.0, 0.5546884
1710.0, 0.55453724
1720.0, 0.55438626
1730.0, 0.5542355
1740.0, 0.554085
1750.0, 0.5539347
1760.0, 0.55378467
1770.0, 0.55363476
1780.0, 0.55348516
1790.0, 0.5533358
1800.0, 0.5531866
1810.0, 0.55303764
1820.0, 0.5528889
1830.0, 0.55274034
1840.0, 0.55259204
1850.0, 0.552444
