Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 60.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.1011945
70.0, 0.13739075
80.0, 0.16228515
90.0, 0.18137754
100.0, 0.1968485
110.0, 0.20982364
120.0, 0.2209692
130.0, 0.23071493
140.0, 0.23935509
150.0, 0.24710031
160.0, 0.25410664
170.0, 0.260493
180.0, 0.266352
190.0, 0.2717572
200.0, 0.2767679
210.0, 0.28143284
220.0, 0.28579226
230.0, 0.28987986
240.0, 0.29372418
250.0, 0.29734963
260.0, 0.30077708
270.0, 0.3040247
280.0, 0.3071082
290.0, 0.31004146
300.0, 0.31283668
310.0, 0.31550467
320.0, 0.31805497
330.0, 0.3204962
340.0, 0.32283604
350.0, 0.32508138
360.0, 0.3272385
370.0, 0.32931307
380.0, 0.3313102
390.0, 0.3332346
400.0, 0.3350906
410.0, 0.33688203
420.0, 0.3386126
430.0, 0.3402855
440.0, 0.34190392
450.0, 0.34347063
460.0, 0.34498823
470.0, 0.34645915
480.0, 0.3478857
490.0, 0.34926993
500.0, 0.35061383
510.0, 0.3519192
520.0, 0.35318777
530.0, 0.35442114
540.0, 0.35562077
550.0, 0.3567882
560.0, 0.35792458
570.0, 0.35903126
580.0, 0.36010945
590.0, 0.3611602
600.0, 0.36218452
610.0, 0.36318347
620.0, 0.36415797
630.0, 0.3651089
640.0, 0.36603713
650.0, 0.3669434
660.0, 0.36782852
670.0, 0.3686932
680.0, 0.3695381
690.0, 0.3703639
700.0, 0.37117124
710.0, 0.37196064
720.0, 0.37273276
730.0, 0.37348807
740.0, 0.37422714
750.0, 0.37495038
760.0, 0.37565833
770.0, 0.37635148
780.0, 0.37703016
790.0, 0.37769488
800.0, 0.37834597
810.0, 0.37898383
820.0, 0.37960884
830.0, 0.38022137
840.0, 0.3808217
850.0, 0.38141018
860.0, 0.38198718
870.0, 0.38255295
880.0, 0.38310778
890.0, 0.3836519
900.0, 0.3841857
910.0, 0.38470936
920.0, 0.38522315
930.0, 0.3857273
940.0, 0.38622203
950.0, 0.38670757
960.0, 0.3871842
970.0, 0.38765204
980.0, 0.38811138
990.0, 0.38856238
1000.0, 0.38900515
1010.0, 0.38879484
1020.0, 0.38858485
1030.0, 0.38837513
