Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 30.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.03299553
70.0, 0.056063704
80.0, 0.0748437
90.0, 0.09078847
100.0, 0.1046675
110.0, 0.11696003
120.0, 0.1279907
130.0, 0.1379917
140.0, 0.14713553
150.0, 0.15555425
160.0, 0.16335131
170.0, 0.17060947
180.0, 0.17739579
190.0, 0.18376566
200.0, 0.18976514
210.0, 0.1954331
220.0, 0.20080258
230.0, 0.20590192
240.0, 0.21075565
250.0, 0.21538503
260.0, 0.21980873
270.0, 0.2240432
280.0, 0.22810297
290.0, 0.23200096
300.0, 0.23574874
310.0, 0.23935664
320.0, 0.24283405
330.0, 0.24618931
340.0, 0.24943016
350.0, 0.2525635
360.0, 0.25559565
370.0, 0.25853243
380.0, 0.26137912
390.0, 0.26414067
400.0, 0.26682153
410.0, 0.26942584
420.0, 0.27195752
430.0, 0.27442005
440.0, 0.27681676
450.0, 0.27915072
460.0, 0.2814248
470.0, 0.2836417
480.0, 0.28580397
490.0, 0.28791383
500.0, 0.2899736
510.0, 0.2919852
520.0, 0.29395068
530.0, 0.2958719
540.0, 0.29775044
550.0, 0.29958802
560.0, 0.30138615
570.0, 0.30314624
580.0, 0.30486977
590.0, 0.30655792
600.0, 0.30821195
610.0, 0.30983308
620.0, 0.31142238
630.0, 0.31298095
640.0, 0.3145097
650.0, 0.31600964
660.0, 0.31748173
670.0, 0.31892675
680.0, 0.3203456
690.0, 0.32173908
700.0, 0.32310787
710.0, 0.32445276
720.0, 0.32577446
730.0, 0.32707354
740.0, 0.32835078
750.0, 0.32960665
760.0, 0.33084178
770.0, 0.33205676
780.0, 0.3332521
790.0, 0.33442843
800.0, 0.3355861
810.0, 0.33672562
820.0, 0.3378475
830.0, 0.33895218
840.0, 0.34004006
850.0, 0.34111157
860.0, 0.3421671
870.0, 0.34320703
880.0, 0.34423175
890.0, 0.3452416
900.0, 0.346237
910.0, 0.34721813
920.0, 0.34818548
930.0, 0.3491392
940.0, 0.35007975
950.0, 0.3510073
960.0, 0.35192224
970.0, 0.35282475
980.0, 0.35371515
990.0, 0.35459366
1000.0, 0.35546055
1010.0, 0.35529432
1020.0, 0.35512838
1030.0, 0.35496277
