Energy (in eV), SEEE yield of material CERS-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.15561853
20.0, 0.30995178
30.0, 0.46326822
40.0, 0.6156133
50.0, 0.76698613
60.0, 0.91736704
70.0, 1.0667287
80.0, 1.2150422
90.0, 1.3622738
100.0, 1.5083915
110.0, 1.6533605
120.0, 1.7971504
130.0, 1.9397278
140.0, 2.081062
150.0, 2.2211242
160.0, 2.359884
170.0, 2.497315
180.0, 2.6333907
190.0, 2.7680852
200.0, 2.901375
210.0, 3.033237
220.0, 3.1636474
230.0, 3.2925878
240.0, 3.420037
250.0, 3.5459793
260.0, 3.6703935
270.0, 3.7932677
280.0, 3.9145834
290.0, 4.0343275
300.0, 4.1524887
310.0, 4.2690525
320.0, 4.3840094
330.0, 4.49735
340.0, 4.609064
350.0, 4.7191443
360.0, 4.8275843
370.0, 4.934376
380.0, 5.0395155
390.0, 5.1429987
400.0, 5.2448206
410.0, 5.34498
420.0, 5.4434757
430.0, 5.540304
440.0, 5.6354656
450.0, 5.728963
460.0, 5.820795
470.0, 5.9109645
480.0, 5.9994745
490.0, 6.086329
500.0, 6.1715302
510.0, 6.2550826
520.0, 6.336992
530.0, 6.4172664
540.0, 6.4959097
550.0, 6.5729303
560.0, 6.648335
570.0, 6.722132
580.0, 6.79433
590.0, 6.8649387
600.0, 6.933968
610.0, 7.001427
620.0, 7.067327
630.0, 7.131676
640.0, 7.1944914
650.0, 7.2557807
660.0, 7.315556
670.0, 7.373831
680.0, 7.4306192
690.0, 7.4859333
700.0, 7.539784
710.0, 7.592189
720.0, 7.6431613
730.0, 7.6927147
740.0, 7.740865
750.0, 7.7876244
760.0, 7.833011
770.0, 7.877039
780.0, 7.919724
790.0, 7.96108
800.0, 8.001125
810.0, 8.039875
820.0, 8.077346
830.0, 8.113553
840.0, 8.148515
850.0, 8.182243
860.0, 8.21476
870.0, 8.24608
880.0, 8.27622
890.0, 8.305198
900.0, 8.333028
910.0, 8.359731
920.0, 8.385319
930.0, 8.409813
940.0, 8.433229
950.0, 8.455584
960.0, 8.476894
970.0, 8.497178
980.0, 8.516452
990.0, 8.534732
1000.0, 8.552036
1010.0, 8.56838
1020.0, 8.583783
1030.0, 8.59826
1040.0, 8.611828
1050.0, 8.624504
1060.0, 8.636304
1070.0, 8.6472435
