Energy (in eV), SEEE yield of material CERS-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.15517624
20.0, 0.30864635
30.0, 0.4607659
40.0, 0.6116098
50.0, 0.76118374
60.0, 0.9094612
70.0, 1.0564126
80.0, 1.2020115
90.0, 1.346202
100.0, 1.4889603
110.0, 1.6302431
120.0, 1.7700127
130.0, 1.9082398
140.0, 2.0448828
150.0, 2.1799176
160.0, 2.3133056
170.0, 2.445025
180.0, 2.5750499
190.0, 2.7033527
200.0, 2.8299088
210.0, 2.9547045
220.0, 3.0777142
230.0, 3.1989198
240.0, 3.3183062
250.0, 3.4358664
260.0, 3.5515795
270.0, 3.6654363
280.0, 3.777434
290.0, 3.887559
300.0, 3.9958096
310.0, 4.102176
320.0, 4.20666
330.0, 4.309257
340.0, 4.409968
350.0, 4.5087924
360.0, 4.605735
370.0, 4.7007976
380.0, 4.7939825
390.0, 4.885299
400.0, 4.974753
410.0, 5.0623507
420.0, 5.148102
430.0, 5.232016
440.0, 5.314105
450.0, 5.394378
460.0, 5.472848
470.0, 5.54953
480.0, 5.6244354
490.0, 5.697581
500.0, 5.7689805
510.0, 5.8386493
520.0, 5.9066052
530.0, 5.9728646
540.0, 6.0374455
550.0, 6.100366
560.0, 6.161644
570.0, 6.2212996
580.0, 6.279351
590.0, 6.3358197
600.0, 6.3907237
610.0, 6.444083
620.0, 6.495922
630.0, 6.546258
640.0, 6.5951138
650.0, 6.642511
660.0, 6.6884704
670.0, 6.733014
680.0, 6.776164
690.0, 6.817942
700.0, 6.8583713
710.0, 6.8974705
720.0, 6.9352665
730.0, 6.9717774
740.0, 7.0070286
750.0, 7.04104
760.0, 7.073835
770.0, 7.1054354
780.0, 7.1358633
790.0, 7.1651406
800.0, 7.193289
810.0, 7.2203298
820.0, 7.246286
830.0, 7.2711782
840.0, 7.2950273
850.0, 7.317856
860.0, 7.339684
870.0, 7.3605328
880.0, 7.380424
890.0, 7.399375
900.0, 7.4174104
910.0, 7.434546
920.0, 7.4508047
930.0, 7.466205
940.0, 7.4807663
950.0, 7.4945083
960.0, 7.507449
970.0, 7.5196085
980.0, 7.531004
990.0, 7.5416527
1000.0, 7.551575
1010.0, 7.560787
1020.0, 7.5693073
1030.0, 7.5771513
1040.0, 7.5843368
1050.0, 7.5908804
1060.0, 7.5967984
