Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.06896497
20.0, 0.13300242
30.0, 0.19219539
40.0, 0.24672148
50.0, 0.29679236
60.0, 0.34263605
70.0, 0.3844872
80.0, 0.42258212
90.0, 0.45715496
100.0, 0.48843476
110.0, 0.51664484
120.0, 0.5420003
130.0, 0.56470764
140.0, 0.58496445
150.0, 0.6029585
160.0, 0.6188678
170.0, 0.6328608
180.0, 0.64509535
190.0, 0.6557204
200.0, 0.664875
210.0, 0.6726891
220.0, 0.67928374
230.0, 0.6847711
240.0, 0.6892557
250.0, 0.69283366
260.0, 0.6955941
270.0, 0.69761866
280.0, 0.69898283
290.0, 0.6997556
300.0, 0.6999999
310.0, 0.69977397
320.0, 0.69912994
330.0, 0.69811577
340.0, 0.69677514
350.0, 0.69514716
360.0, 0.69326776
370.0, 0.691169
380.0, 0.6888799
390.0, 0.6864266
400.0, 0.6838325
410.0, 0.68111855
420.0, 0.67830354
430.0, 0.67540425
440.0, 0.6724355
450.0, 0.66941065
460.0, 0.6663412
470.0, 0.6632378
480.0, 0.6601093
490.0, 0.6569638
500.0, 0.65380853
510.0, 0.6506494
520.0, 0.6474918
530.0, 0.6443406
540.0, 0.64119947
550.0, 0.6380721
560.0, 0.6349613
570.0, 0.63186973
580.0, 0.6287993
590.0, 0.625752
600.0, 0.62272906
610.0, 0.61973196
620.0, 0.6167614
630.0, 0.6138182
640.0, 0.6109031
650.0, 0.6080165
660.0, 0.6051584
670.0, 0.60232925
680.0, 0.5995291
690.0, 0.5967579
700.0, 0.59401554
710.0, 0.591302
720.0, 0.58861697
730.0, 0.58596027
740.0, 0.58333164
750.0, 0.58073074
760.0, 0.5781573
770.0, 0.57561094
780.0, 0.57309127
790.0, 0.570598
800.0, 0.5681308
810.0, 0.565689
820.0, 0.56327266
830.0, 0.56088096
840.0, 0.5585138
850.0, 0.55617064
860.0, 0.5538512
870.0, 0.5515551
880.0, 0.54928184
890.0, 0.54703116
900.0, 0.5448027
910.0, 0.54259604
920.0, 0.5404108
930.0, 0.53824675
940.0, 0.53610355
950.0, 0.5339807
960.0, 0.53187805
970.0, 0.52979517
980.0, 0.52773184
990.0, 0.5256877
1000.0, 0.52366245
1010.0, 0.52165574
1020.0, 0.5196673
