Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.06975501
20.0, 0.13616687
30.0, 0.1992298
40.0, 0.25900063
50.0, 0.31556404
60.0, 0.36901638
70.0, 0.41946468
80.0, 0.4670197
90.0, 0.5117955
100.0, 0.553908
110.0, 0.5934724
120.0, 0.6306038
130.0, 0.66541547
140.0, 0.6980184
150.0, 0.7285214
160.0, 0.7570301
170.0, 0.78364736
180.0, 0.8084722
190.0, 0.8316006
200.0, 0.8531246
210.0, 0.8731328
220.0, 0.8917099
230.0, 0.9089374
240.0, 0.9248927
250.0, 0.93964946
260.0, 0.95327836
270.0, 0.9658465
280.0, 0.97741705
290.0, 0.9880504
300.0, 0.99780375
310.0, 1.0067312
320.0, 1.0148834
330.0, 1.0223092
340.0, 1.0290538
350.0, 1.0351601
360.0, 1.0406685
370.0, 1.0456173
380.0, 1.0500422
390.0, 1.0539768
400.0, 1.0574529
410.0, 1.0605
420.0, 1.0631461
430.0, 1.0654176
440.0, 1.0673385
450.0, 1.0689323
460.0, 1.0702202
470.0, 1.0712227
480.0, 1.0719585
490.0, 1.0724454
500.0, 1.0726999
510.0, 1.0727375
520.0, 1.0725727
530.0, 1.0722194
540.0, 1.0716897
550.0, 1.0709959
560.0, 1.0701492
570.0, 1.0691599
580.0, 1.0680373
590.0, 1.0667912
600.0, 1.0654294
610.0, 1.0639607
620.0, 1.0623918
630.0, 1.0607299
640.0, 1.0589817
650.0, 1.0571531
660.0, 1.0552498
670.0, 1.0532773
680.0, 1.0512406
690.0, 1.0491441
700.0, 1.0469925
710.0, 1.04479
720.0, 1.0425401
730.0, 1.0402465
740.0, 1.037913
750.0, 1.0355422
760.0, 1.0331374
770.0, 1.0307014
780.0, 1.0282366
790.0, 1.0257459
800.0, 1.0232311
810.0, 1.0206944
820.0, 1.0181383
830.0, 1.0155643
840.0, 1.0129744
850.0, 1.0103701
860.0, 1.0077531
870.0, 1.0051252
880.0, 1.002487
890.0, 0.9998406
900.0, 0.9971868
910.0, 0.9945269
920.0, 0.9918619
930.0, 0.9891931
940.0, 0.986521
950.0, 0.9838469
960.0, 0.98117167
970.0, 0.97849566
980.0, 0.9758202
990.0, 0.9731458
1000.0, 0.9704729
1010.0, 0.9678023
1020.0, 0.96513456
1030.0, 0.9624703
