Energy (in eV), SEEE yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.23876563
20.0, 0.46411136
30.0, 0.67867106
40.0, 0.88323754
50.0, 1.0782218
60.0, 1.2639049
70.0, 1.4405162
80.0, 1.6082681
90.0, 1.7673707
100.0, 1.9180405
110.0, 2.0605037
120.0, 2.1949937
130.0, 2.3217556
140.0, 2.4410412
150.0, 2.5531096
160.0, 2.6582239
170.0, 2.7566516
180.0, 2.8486629
190.0, 2.934527
200.0, 3.0145125
210.0, 3.088887
220.0, 3.1579134
230.0, 3.2218504
240.0, 3.2809517
250.0, 3.3354654
260.0, 3.3856332
270.0, 3.4316876
280.0, 3.4738557
290.0, 3.5123549
300.0, 3.547397
310.0, 3.579182
320.0, 3.6079044
330.0, 3.6337485
340.0, 3.6568913
350.0, 3.6775007
360.0, 3.695736
370.0, 3.7117496
380.0, 3.725685
390.0, 3.7376778
400.0, 3.7478583
410.0, 3.756347
420.0, 3.7632592
430.0, 3.7687016
440.0, 3.7727776
450.0, 3.775581
460.0, 3.777203
470.0, 3.7777271
480.0, 3.7772326
490.0, 3.775793
500.0, 3.7734776
510.0, 3.7703516
520.0, 3.766475
530.0, 3.7619052
540.0, 3.7566946
550.0, 3.750893
560.0, 3.7445464
570.0, 3.7376971
580.0, 3.7303858
590.0, 3.7226505
600.0, 3.714525
610.0, 3.7060423
620.0, 3.6972325
630.0, 3.688124
640.0, 3.6787426
650.0, 3.6691127
660.0, 3.6592567
670.0, 3.6491969
680.0, 3.6389525
690.0, 3.6285405
700.0, 3.617981
710.0, 3.607286
720.0, 3.5964723
730.0, 3.5855541
740.0, 3.5745432
750.0, 3.5634515
760.0, 3.5522902
770.0, 3.5410688
780.0, 3.5297976
790.0, 3.518486
800.0, 3.507141
810.0, 3.4957707
820.0, 3.4843822
830.0, 3.4729824
840.0, 3.461576
850.0, 3.45017
860.0, 3.438769
870.0, 3.4273791
880.0, 3.4160037
890.0, 3.4046466
900.0, 3.3933117
910.0, 3.3820038
920.0, 3.3707254
930.0, 3.35948
940.0, 3.3482695
950.0, 3.3370967
960.0, 3.3259642
970.0, 3.3148744
980.0, 3.30383
990.0, 3.2928314
1000.0, 3.2818809
1010.0, 3.2709804
1020.0, 3.2601306
1030.0, 3.2493339
1040.0, 3.23859
