Energy (in eV), SEEE yield of material al2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.08667153
20.0, 0.16943009
30.0, 0.24868307
40.0, 0.32457143
50.0, 0.3971789
60.0, 0.46656618
70.0, 0.5327858
80.0, 0.5958912
90.0, 0.65593755
100.0, 0.7129831
110.0, 0.76709145
120.0, 0.81832975
130.0, 0.8667697
140.0, 0.9124866
150.0, 0.9555594
160.0, 0.99606967
170.0, 1.0341014
180.0, 1.0697404
190.0, 1.1030738
200.0, 1.13419
210.0, 1.163177
220.0, 1.1901238
230.0, 1.2151177
240.0, 1.2382462
250.0, 1.2595955
260.0, 1.2792501
270.0, 1.297293
280.0, 1.3138053
290.0, 1.3288665
300.0, 1.3425531
310.0, 1.3549396
320.0, 1.3660979
330.0, 1.3760972
340.0, 1.3850051
350.0, 1.3928851
360.0, 1.3997989
370.0, 1.4058052
380.0, 1.4109604
390.0, 1.4153181
400.0, 1.4189291
410.0, 1.4218419
420.0, 1.4241023
430.0, 1.4257544
440.0, 1.4268386
450.0, 1.4273947
460.0, 1.4274589
470.0, 1.4270662
480.0, 1.426249
490.0, 1.425038
500.0, 1.4234623
510.0, 1.4215491
520.0, 1.4193234
530.0, 1.4168096
540.0, 1.4140294
550.0, 1.4110045
560.0, 1.407754
570.0, 1.4042964
580.0, 1.4006485
590.0, 1.3968266
600.0, 1.3928453
610.0, 1.3887188
620.0, 1.38446
630.0, 1.3800808
640.0, 1.3755926
650.0, 1.3710057
660.0, 1.3663303
670.0, 1.3615749
680.0, 1.3567483
690.0, 1.351858
700.0, 1.3469121
710.0, 1.3419164
720.0, 1.3368778
730.0, 1.331802
740.0, 1.3266941
750.0, 1.3215598
760.0, 1.3164033
770.0, 1.3112291
780.0, 1.3060414
790.0, 1.300843
800.0, 1.2956386
810.0, 1.2904308
820.0, 1.2852224
830.0, 1.2800164
840.0, 1.2748153
850.0, 1.2696214
860.0, 1.264437
870.0, 1.2592639
880.0, 1.2541038
890.0, 1.2489587
900.0, 1.2438303
910.0, 1.2387195
920.0, 1.2336283
930.0, 1.228557
940.0, 1.2235074
950.0, 1.2184806
960.0, 1.2134771
970.0, 1.2084979
980.0, 1.2035438
990.0, 1.1986154
1000.0, 1.1937137
1010.0, 1.1888386
1020.0, 1.1839912
1030.0, 1.1791718
