Energy (in eV), SEEP yield of material CERS-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.21136111
400.0, 0.30181774
600.0, 0.37104782
800.0, 0.4292608
1000.0, 0.48041523
1200.0, 0.5265432
1400.0, 0.5688527
1600.0, 0.6081319
1800.0, 0.6449287
2000.0, 0.67964196
2200.0, 0.71257377
2400.0, 0.7439585
2600.0, 0.7739829
2800.0, 0.80279857
3000.0, 0.8305304
3200.0, 0.8572832
3400.0, 0.8831453
3600.0, 0.9081925
3800.0, 0.9324903
4000.0, 0.9560956
4200.0, 0.9790586
4400.0, 1.0014232
4600.0, 1.0232286
4800.0, 1.0445101
5000.0, 1.0652987
5200.0, 1.0856234
5400.0, 1.1055092
5600.0, 1.12498
5800.0, 1.1440567
6000.0, 1.1627591
6200.0, 1.1811048
6400.0, 1.1991106
6600.0, 1.2167915
6800.0, 1.2341617
7000.0, 1.2512343
7200.0, 1.2680213
7400.0, 1.2845343
7600.0, 1.300784
7800.0, 1.3167794
8000.0, 1.332531
8200.0, 1.348047
8400.0, 1.3633351
8600.0, 1.3784034
8800.0, 1.3932598
9000.0, 1.4079105
9200.0, 1.4223619
9400.0, 1.4366204
9600.0, 1.4506918
9800.0, 1.4645817
10000.0, 1.4782952
10200.0, 1.4918374
10400.0, 1.5052134
10600.0, 1.5184271
10800.0, 1.5314835
11000.0, 1.5443861
11200.0, 1.5571396
11400.0, 1.5697471
11600.0, 1.5822123
11800.0, 1.5945392
12000.0, 1.6067308
12200.0, 1.6187899
12400.0, 1.6307201
12600.0, 1.6425244
12800.0, 1.6542052
13000.0, 1.6657656
13200.0, 1.677208
13400.0, 1.6885349
13600.0, 1.6997491
13800.0, 1.7108526
14000.0, 1.7218475
14200.0, 1.7327366
14400.0, 1.7435216
14600.0, 1.7542045
14800.0, 1.7647873
15000.0, 1.7752721
15200.0, 1.785661
15400.0, 1.7959551
15600.0, 1.8061562
15800.0, 1.8162669
16000.0, 1.8262874
16200.0, 1.8362207
16400.0, 1.8460678
16600.0, 1.8558295
16800.0, 1.8655078
17000.0, 1.8751047
17200.0, 1.8846209
17400.0, 1.8940572
17600.0, 1.9034166
17800.0, 1.9126987
18000.0, 1.921905
18200.0, 1.9310373
18400.0, 1.9400963
18600.0, 1.9490832
18800.0, 1.9579992
19000.0, 1.9668454
