Energy (in eV), SEEP yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.3232357
400.0, 0.47649613
600.0, 0.59361845
800.0, 0.6919406
1000.0, 0.7781965
1200.0, 0.8558458
1400.0, 0.92694676
1600.0, 0.9928428
1800.0, 1.0544685
2000.0, 1.1125056
2200.0, 1.1674694
2400.0, 1.2197609
2600.0, 1.2696998
2800.0, 1.3175452
3000.0, 1.3635117
3200.0, 1.4077783
3400.0, 1.4504972
3600.0, 1.4917984
3800.0, 1.5317943
4000.0, 1.5705829
4200.0, 1.6082506
4400.0, 1.6448728
4600.0, 1.6805177
4800.0, 1.7152452
5000.0, 1.7491101
5200.0, 1.7821611
5400.0, 1.8144428
5600.0, 1.8459952
5800.0, 1.8768557
6000.0, 1.9070578
6200.0, 1.9366328
6400.0, 1.965609
6600.0, 1.9940131
6800.0, 2.0218694
7000.0, 2.0492008
7200.0, 2.0760288
7400.0, 2.102373
7600.0, 2.1282508
7800.0, 2.153681
8000.0, 2.1786795
8200.0, 2.2032607
8400.0, 2.2274396
8600.0, 2.2512302
8800.0, 2.2746437
9000.0, 2.297694
9200.0, 2.320391
9400.0, 2.3427463
9600.0, 2.36477
9800.0, 2.386472
10000.0, 2.4078612
10200.0, 2.4289465
10400.0, 2.449737
10600.0, 2.4702394
10800.0, 2.490463
11000.0, 2.5104136
11200.0, 2.530099
11400.0, 2.5495253
11600.0, 2.5686998
11800.0, 2.5876284
12000.0, 2.6063166
12200.0, 2.6247702
12400.0, 2.6429949
12600.0, 2.6609952
12800.0, 2.6787775
13000.0, 2.6963446
13200.0, 2.7137036
13400.0, 2.7308574
13600.0, 2.7478108
13800.0, 2.7645679
14000.0, 2.7811325
14200.0, 2.7975094
14400.0, 2.8137014
14600.0, 2.8297124
14800.0, 2.8455465
15000.0, 2.8612065
15200.0, 2.8766956
15400.0, 2.8920176
15600.0, 2.9071753
15800.0, 2.922172
16000.0, 2.93701
16200.0, 2.9516928
16400.0, 2.966223
16600.0, 2.9806027
16800.0, 2.9948351
17000.0, 3.0089228
17200.0, 3.0228677
17400.0, 3.0366726
17600.0, 3.0503395
17800.0, 3.0638723
18000.0, 3.0772705
18200.0, 3.090538
18400.0, 3.103676
18600.0, 3.1166878
18800.0, 3.129573
19000.0, 3.1423373
19200.0, 3.1549788
