Energy (in eV), SEEP yield of material ITOC-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 4.812021
400.0, 10.191295
600.0, 14.538461
800.0, 20.351973
1000.0, 25.390142
1200.0, 30.691748
1400.0, 34.67365
1600.0, 40.372574
1800.0, 44.53433
2000.0, 50.617653
2200.0, 54.966526
2400.0, 59.366215
2600.0, 65.94653
2800.0, 70.53126
3000.0, 75.16874
3200.0, 79.85972
3400.0, 84.604546
3600.0, 89.403244
3800.0, 94.25568
4000.0, 99.16151
4200.0, 104.12029
4400.0, 109.13152
4600.0, 114.194534
4800.0, 119.30876
5000.0, 124.47346
5200.0, 129.68793
5400.0, 134.95148
5600.0, 140.26334
5800.0, 145.62274
6000.0, 151.02902
6200.0, 156.4814
6400.0, 161.97908
6600.0, 164.2367
6800.0, 169.77869
7000.0, 175.36473
7200.0, 180.99406
7400.0, 186.66603
7600.0, 188.88202
7800.0, 194.59673
8000.0, 200.35258
8200.0, 206.14897
8400.0, 211.98518
8600.0, 214.168
8800.0, 220.04483
9000.0, 225.96016
9200.0, 231.91324
9400.0, 234.06639
9600.0, 240.0585
9800.0, 246.08705
10000.0, 252.15152
10200.0, 254.2782
10400.0, 260.37988
10600.0, 266.5162
10800.0, 272.68665
11000.0, 274.78918
11200.0, 280.99506
11400.0, 287.23373
11600.0, 289.31186
11800.0, 295.58502
12000.0, 301.8898
12200.0, 303.9449
12400.0, 310.28302
12600.0, 316.65164
12800.0, 323.05032
13000.0, 325.08563
13200.0, 331.51593
13400.0, 337.97522
13600.0, 339.98956
13800.0, 346.47943
14000.0, 352.99725
14200.0, 354.99152
14400.0, 361.53873
14600.0, 368.11307
14800.0, 370.08792
15000.0, 376.69067
15200.0, 383.31946
15400.0, 385.2755
15600.0, 391.93173
15800.0, 393.8678
16000.0, 400.5509
16200.0, 407.25873
16400.0, 409.17712
16600.0, 415.91095
16800.0, 422.6686
17000.0, 424.56964
17200.0, 431.35236
17400.0, 438.15805
17600.0, 440.04218
17800.0, 446.87198
18000.0, 453.72403
18200.0, 455.59155
18400.0, 462.46692
18600.0, 464.3167
18800.0, 471.21475
19000.0, 478.13385
19200.0, 479.96783
19400.0, 486.909
19600.0, 493.8704
19800.0, 495.68857
20000.0, 502.67114
20200.0, 504.47266
20400.0, 511.476
20600.0, 518.49866
