Energy (in eV), SEEP yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.42171723
400.0, 0.6034849
600.0, 0.7422887
800.0, 0.85874414
1000.0, 0.9608514
1200.0, 1.0527208
1400.0, 1.1367977
1600.0, 1.214679
1800.0, 1.287476
2000.0, 1.3559985
2200.0, 1.4208597
2400.0, 1.4825366
2600.0, 1.5414088
2800.0, 1.5977857
3000.0, 1.6519213
3200.0, 1.7040296
3400.0, 1.7542917
3600.0, 1.8028619
3800.0, 1.8498747
4000.0, 1.8954462
4200.0, 1.9396793
4400.0, 1.9826647
4600.0, 2.0244823
4800.0, 2.065205
5000.0, 2.1048963
5200.0, 2.1436162
5400.0, 2.1814167
5600.0, 2.2183464
5800.0, 2.254449
6000.0, 2.2897644
6200.0, 2.3243303
6400.0, 2.3581812
6600.0, 2.3913481
6800.0, 2.4238603
7000.0, 2.4557452
7200.0, 2.4870276
7400.0, 2.5177321
7600.0, 2.5478797
7800.0, 2.577492
8000.0, 2.6065872
8200.0, 2.6351845
8400.0, 2.6633008
8600.0, 2.6909523
8800.0, 2.718154
9000.0, 2.7449207
9200.0, 2.7712655
9400.0, 2.7972019
9600.0, 2.822742
9800.0, 2.847897
10000.0, 2.8726783
10200.0, 2.897097
10400.0, 2.921163
10600.0, 2.9448853
10800.0, 2.9682739
11000.0, 2.9913363
11200.0, 3.014082
11400.0, 3.0365183
11600.0, 3.0586536
11800.0, 3.0804956
12000.0, 3.1020496
12200.0, 3.123324
12400.0, 3.1443245
12600.0, 3.1650584
12800.0, 3.1855307
13000.0, 3.2057478
13200.0, 3.225715
13400.0, 3.2454374
13600.0, 3.2649207
13800.0, 3.2841709
14000.0, 3.3031905
14200.0, 3.321986
14400.0, 3.3405614
14600.0, 3.3589208
14800.0, 3.3770695
15000.0, 3.39501
15200.0, 3.4127476
15400.0, 3.430286
15600.0, 3.4476283
15800.0, 3.4647782
16000.0, 3.4817395
16200.0, 3.4985158
16400.0, 3.515111
16600.0, 3.5315259
16800.0, 3.5477664
17000.0, 3.563834
17200.0, 3.5797322
17400.0, 3.5954633
17600.0, 3.611031
17800.0, 3.6264372
18000.0, 3.641685
18200.0, 3.656777
18400.0, 3.6717153
18600.0, 3.6865025
18800.0, 3.701141
19000.0, 3.7156336
19200.0, 3.7299824
