 Energy_[eV], 10nm, 50nm, 100nm, 1um 
 20.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 40.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 60.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 80.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 100.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 120.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 140.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 160.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 180.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 200.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 220.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 240.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 260.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 280.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 300.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 320.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 340.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 360.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 380.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 400.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 420.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 440.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 460.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 480.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
