Time (s), esn 0 surface potential difference wrt to esn ground(V)
0.62, 4.537644E-7
1.24, 7.1525574E-7
1.86, 1.1382565E-6
2.48, 2.153458E-7
3.1, 3.460915E-7
3.72, 2.9994595E-7
4.3269033, 2.8715542E-8
4.946903, 4.4607347E-7
5.5669036, 2.3841858E-7
6.1869035, 1.8458212E-7
6.8069034, 4.92219E-7
7.4269032, 8.536923E-7
8.046904, 7.2294665E-7
8.6669035, 6.768011E-7
9.286903, 2.5380044E-7
9.906903, 3.3840055E-7
10.526903, 2.461095E-7
11.146903, 4.537644E-7
11.766903, 3.845461E-7
12.386903, 2.3072765E-8
13.006904, 5.076009E-7
13.626904, -7.690922E-8
14.246903, -6.9218295E-8
14.866903, -6.2296465E-7
15.486903, 1.15363825E-7
16.106903, 6.768011E-7
16.726904, 5.6912825E-7
17.346903, -1.6920028E-7
17.966904, 5.7681916E-7
18.586903, 9.613652E-7
19.206903, 5.6912825E-7
19.826902, 7.84474E-7
20.439707, 6.0649285E-7
21.059294, -6.151769E-8
21.67888, 2.6917633E-7
22.298468, 3.1532724E-7
22.918055, -3.5381058E-7
23.537642, 3.8453237E-7
24.157228, 8.4596826E-7
24.776815, -4.922252E-7
25.396402, 4.7683423E-7
26.01599, -1.7687667E-7
26.635576, 4.6144984E-7
27.255163, 6.460169E-7
27.87475, -9.231434E-8
28.494337, 9.996726E-8
29.113924, 6.5366464E-7
29.733511, 2.6920935E-7
30.353098, 8.5369606E-7
30.972685, -2.8458567E-7
31.592272, -3.8452282E-7
32.21186, 2.4610083E-7
32.831444, 4.845393E-7
33.451035, 7.075287E-7
34.070618, 6.0757986E-7
34.69021, 8.461392E-8
35.30979, 6.2302377E-7
35.929382, 4.3839736E-7
36.548965, 1.9228499E-7
37.168556, 4.9998E-7
37.78814, 3.8500445E-8
38.40773, 3.6145173E-7
39.027313, -2.3848023E-7
39.646904, 7.6912016E-7
40.266487, -2.691611E-7
40.886078, 1.9994356E-7
41.50566, -3.0752798E-8
42.12525, 2.8456336E-7
42.744835, 3.1529618E-7
43.364426, 2.4605018E-7
43.98401, -3.8449215E-7
44.6036, 7.460404E-7
45.223183, 2.3834518E-7
45.842773, 1.0306155E-6
46.462357, 3.8459344E-8
47.081947, 3.4610048E-7
47.70153, 6.917104E-8
48.32112, 3.816529E-11
48.940704, 1.9997098E-7
49.560295, 3.847502E-8
50.180016, 6.161068E-8
50.800014, 3.7685518E-7
51.420017, -5.5374636E-7
52.040016, -4.614553E-8
52.660015, 5.4605545E-7
53.280014, 1.5381843E-7
53.900017, 3.2301872E-7
54.520016, 4.306916E-7
55.140015, 7.690922E-8
55.760017, 4.230007E-7
56.380016, 1.15363825E-7
57.000015, 1.076729E-7
57.620014, 2.153458E-7
58.240017, -2.8456412E-7
58.860016, 4.6914624E-7
59.480015, 3.3840055E-7
