Time (s), esn 1 average surface potential (V), esn 1 ground potential (V), esn 1 min surface potential (V), esn 1 max surface potential (V)
0.62, 3.4466941, 3.2881713, 2.1394675, 4.221157
1.24, 3.2164793, 3.353611, 1.4238464, 4.2765765
1.86, 3.0726588, 3.3859925, 1.2090229, 4.2242584
2.48, 3.0648003, 3.4498103, 1.1482668, 4.2543545
3.1, 3.1326187, 3.5254593, 1.1828718, 4.3410106
3.72, 3.198758, 3.5959866, 1.1484623, 4.351792
4.3269033, 3.2573366, 3.6617293, 1.3557987, 4.4708285
4.946903, 3.2658372, 3.7008426, 1.3612945, 4.4298973
5.5669036, 3.2774992, 3.7467167, 1.3605545, 4.388443
6.1869035, 3.246358, 3.7748644, 1.3418568, 4.385261
6.8069034, 3.2770438, 3.8122573, 1.3068925, 4.4170465
7.4269032, 3.3426666, 3.8553956, 1.3154541, 4.555434
8.046904, 3.4068458, 3.901341, 1.4856718, 4.5672226
8.6669035, 3.4186537, 3.923033, 1.4943122, 4.638963
9.286903, 3.393309, 3.9362853, 1.4727216, 4.535417
9.906903, 3.4236884, 3.9537666, 1.4465479, 4.659846
10.526903, 3.416714, 3.9588144, 1.3898369, 4.551936
11.146903, 3.4011285, 3.961941, 1.4125392, 4.572711
11.766903, 3.3729522, 3.9616783, 1.4281301, 4.583721
12.386903, 3.3647413, 3.963706, 1.4207278, 4.4858165
13.006904, 3.3567731, 3.9776866, 1.4169375, 4.494407
13.626904, 3.330811, 3.979388, 1.2857944, 4.467558
14.246903, 3.3248835, 3.9785352, 1.3087534, 4.4710555
14.866903, 3.3224363, 3.9727652, 1.2570134, 4.5208197
15.486903, 3.3537636, 3.9836578, 1.3307396, 4.564078
16.106903, 3.359296, 3.9861364, 1.4115453, 4.5146074
16.726904, 3.338687, 3.9941602, 1.346916, 4.5655513
17.346903, 3.3497796, 4.0115337, 1.4120382, 4.5453568
17.966904, 3.3480954, 4.0042777, 1.4503208, 4.4689875
18.586903, 3.3332913, 3.9973493, 1.4285389, 4.574087
19.206903, 3.3161936, 3.9872234, 1.3842961, 4.442027
19.826902, 3.3486218, 3.9924982, 1.4308511, 4.516703
20.439707, 3.3859642, 3.9992042, 1.384991, 4.5608106
21.059294, 3.3792393, 3.9970975, 1.3616273, 4.5299683
21.67888, 3.3542173, 3.994682, 1.3284038, 4.5277276
22.298468, 3.343303, 4.0021296, 1.2863747, 4.5145574
22.918055, 3.3996487, 4.029442, 1.3423729, 4.573296
23.537642, 3.368487, 4.017412, 1.1483638, 4.4803877
24.157228, 3.4056282, 4.0227456, 1.1438913, 4.6272154
24.776815, 3.3806007, 4.017039, 1.0904639, 4.6056104
25.396402, 3.3661435, 4.0030518, 1.0586903, 4.5807986
26.01599, 3.320542, 3.9831512, 0.9893658, 4.5417223
26.635576, 3.2743075, 3.9561515, 0.76589847, 4.4902234
27.255163, 3.2471273, 3.9392757, 0.6984002, 4.434506
27.87475, 3.268777, 3.9422262, 0.73108083, 4.5070124
28.494337, 3.268293, 3.9343798, 0.7321286, 4.53118
29.113924, 3.2764843, 3.9367323, 0.56518614, 4.5178986
29.733511, 3.2285693, 3.9261105, 0.5794118, 4.522753
30.353098, 3.218252, 3.9213488, 0.52211237, 4.4930377
30.972685, 3.1958034, 3.9113426, 0.4287297, 4.46561
31.592272, 3.1677148, 3.8901818, 0.34089437, 4.479897
32.21186, 3.117195, 3.8599203, 0.30406818, 4.3773518
32.831444, 3.0992362, 3.8387723, 0.27196625, 4.4615836
33.451035, 3.1167924, 3.83759, 0.23073395, 4.5217643
34.070618, 3.0650358, 3.8278384, 0.09573885, 4.432217
34.69021, 3.030074, 3.7994592, 0.06436675, 4.3797
35.30979, 2.9855936, 3.7614052, -0.034593873, 4.4185205
35.929382, 2.9364579, 3.7328343, -0.17762414, 4.482934
36.548965, 2.8746946, 3.6973672, -0.43484214, 4.429487
37.168556, 2.7913377, 3.6514459, -0.5274346, 4.347384
37.78814, 2.756628, 3.620095, -0.67270666, 4.3119497
38.40773, 2.6713943, 3.5807161, -0.8520387, 4.3172793
39.027313, 2.5758204, 3.5370955, -0.8996982, 4.218502
39.646904, 2.546708, 3.5193317, -1.0546247, 4.229724
40.266487, 2.4978733, 3.4873793, -1.1271595, 4.2783694
40.886078, 2.4322236, 3.455356, -1.1558532, 4.240208
41.50566, 2.3580363, 3.4065766, -1.267819, 4.2384334
42.12525, 2.2728262, 3.364763, -1.4592298, 4.357376
42.744835, 2.1944044, 3.3200874, -1.6334448, 4.1855736
43.364426, 2.0792797, 3.267597, -1.8264259, 4.089114
43.98401, 2.004158, 3.2112296, -2.0343487, 4.1797867
44.6036, 1.9514309, 3.1736314, -2.2046375, 4.0908036
45.223183, 1.8751576, 3.1361322, -2.3296535, 3.9652922
45.842773, 1.8141171, 3.0941026, -2.5766485, 3.927145
46.462357, 1.7053882, 3.0363917, -2.7657526, 4.0850525
47.081947, 1.5986091, 2.9815102, -2.9731257, 3.9992244
47.70153, 1.4882894, 2.920523, -3.1407027, 4.040151
48.32112, 1.3834205, 2.859107, -3.3168383, 3.9646704
48.940704, 1.2734187, 2.8017707, -3.4586709, 3.927728
49.560295, 1.1620748, 2.7414796, -3.6741102, 3.9079983
50.180016, 1.0388349, 2.681621, -3.8640387, 3.7924
50.800014, 0.95491976, 2.6268063, -3.9707916, 3.8338454
51.420017, 0.8905474, 2.579899, -4.076959, 3.9363322
52.040016, 0.78609914, 2.5230358, -4.2784276, 3.8713577
52.660015, 0.72976625, 2.4756384, -4.489968, 3.721762
53.280014, 0.690151, 2.4438949, -4.5745244, 3.732679
53.900017, 0.67306805, 2.4187198, -4.684786, 3.6974163
54.520016, 0.6724231, 2.403069, -4.7770104, 3.6395142
55.140015, 0.6786585, 2.3926988, -4.803443, 3.6650393
55.760017, 0.6747751, 2.3865316, -4.818019, 3.7361917
56.380016, 0.65793765, 2.3776684, -4.925821, 3.7786052
57.000015, 0.6309089, 2.359999, -4.997845, 3.6626108
57.620014, 0.65463847, 2.3500433, -4.939646, 3.7728617
58.240017, 0.6478771, 2.3381102, -4.938343, 3.7180672
58.860016, 0.62705666, 2.3205798, -4.956556, 3.7297528
59.480015, 0.62660336, 2.3209927, -5.019187, 3.7669432
