Time s, Total volumic energy [kinetic plus potential]m-3.eV
0.62, 3432237.0
1.24, 4200292.0
1.86, 3983182.5
2.48, 3857626.2
3.1, 3833245.0
3.72, 3896175.5
4.3269033, 3976598.2
4.946903, 3879716.8
5.5669036, 3937501.5
6.1869035, 3878894.5
6.8069034, 3958407.5
7.4269032, 3914429.5
8.046904, 4000135.8
8.6669035, 4016475.2
9.286903, 3887354.5
9.906903, 3882027.8
10.526903, 3901127.2
11.146903, 3945825.8
11.766903, 4005237.0
12.386903, 4040834.0
13.006904, 3879886.8
13.626904, 3998223.0
14.246903, 3975842.0
14.866903, 3955818.2
15.486903, 3959684.2
16.106903, 3989960.2
16.726904, 3965776.2
17.346903, 4007809.5
17.966904, 3981939.2
18.586903, 3943845.8
19.206903, 3962056.5
19.826902, 4008030.2
20.439707, 3975333.5
21.059294, 3966980.2
21.67888, 3977107.8
22.298468, 4008568.8
22.918055, 4035451.8
23.537642, 3998102.2
24.157228, 3937475.8
24.776815, 3919056.0
25.396402, 3952570.2
26.01599, 3988476.2
26.635576, 3891806.5
27.255163, 3961349.0
27.87475, 3945045.2
28.494337, 3923489.5
29.113924, 3932137.2
29.733511, 3918489.0
30.353098, 3909068.8
30.972685, 3973657.0
31.592272, 4004462.2
32.21186, 3951408.5
32.831444, 3916008.0
33.451035, 3877774.2
34.070618, 3914290.8
34.69021, 3928345.8
35.30979, 3983138.0
35.929382, 3988744.2
36.548965, 3945312.0
37.168556, 3927086.2
37.78814, 3912935.8
38.40773, 3897713.0
39.027313, 3873072.0
39.646904, 3883538.5
40.266487, 3893930.2
40.886078, 3846456.0
41.50566, 3874111.2
42.12525, 3952612.8
42.744835, 3910658.2
43.364426, 3863443.2
43.98401, 3850643.5
44.6036, 3846675.5
45.223183, 3869550.5
45.842773, 3872598.2
46.462357, 3855950.2
47.081947, 3853085.2
47.70153, 3865230.0
48.32112, 3869268.2
48.940704, 3850081.2
49.560295, 3854260.0
50.180016, 3837523.8
50.800014, 3818413.0
51.420017, 3793088.2
52.040016, 3791427.0
52.660015, 3751944.5
53.280014, 3757368.8
53.900017, 3779589.8
54.520016, 3746978.0
55.140015, 3804106.5
55.760017, 3787513.2
56.380016, 3726192.2
57.000015, 3792115.5
57.620014, 3721503.5
58.240017, 3785531.2
58.860016, 3736329.8
59.480015, 3669427.8
