Time s, Total volumic energy [kinetic plus potential]m-3.eV
0.62, 3.28853888E8
1.24, 3.26782176E8
1.86, 3.26871872E8
2.48, 3.26446272E8
3.1, 3.26662272E8
3.72, 3.27020928E8
4.3269033, 3.33792864E8
4.946903, 3.26884224E8
5.5669036, 3.26429312E8
6.1869035, 3.268296E8
6.8069034, 3.26822272E8
7.4269032, 3.26486144E8
8.046904, 3.26568896E8
8.6669035, 3.27182048E8
9.286903, 3.26696512E8
9.906903, 3.26703296E8
10.526903, 3.26732992E8
11.146903, 3.26462304E8
11.766903, 3.27184832E8
12.386903, 3.26666976E8
13.006904, 3.26852256E8
13.626904, 3.26600864E8
14.246903, 3.26627936E8
14.866903, 3.26730816E8
15.486903, 3.267384E8
16.106903, 3.26825856E8
16.726904, 3.26242912E8
17.346903, 3.2656192E8
17.966904, 3.27062144E8
18.586903, 3.2653872E8
19.206903, 3.27013024E8
19.826902, 3.26893248E8
20.439707, 3.30574208E8
21.059294, 3.26284864E8
21.67888, 3.26801376E8
22.298468, 3.2661088E8
22.918055, 3.26094592E8
23.537642, 3.2704464E8
24.157228, 3.26688256E8
24.776815, 3.26740128E8
25.396402, 3.2630288E8
26.01599, 3.26511552E8
26.635576, 3.2688752E8
27.255163, 3.26556352E8
27.87475, 3.26600352E8
28.494337, 3.26550816E8
29.113924, 3.26210112E8
29.733511, 3.26617024E8
30.353098, 3.26166432E8
30.972685, 3.26310528E8
31.592272, 3.25775904E8
32.21186, 3.26432672E8
32.831444, 3.2632064E8
33.451035, 3.2601648E8
34.070618, 3.2591152E8
34.69021, 3.26245344E8
35.30979, 3.26044384E8
35.929382, 3.26068032E8
36.548965, 3.26260128E8
37.168556, 3.26326304E8
37.78814, 3.2598112E8
38.40773, 3.26115776E8
39.027313, 3.25644E8
39.646904, 3.26087616E8
40.266487, 3.2614576E8
40.886078, 3.26208672E8
41.50566, 3.26003264E8
42.12525, 3.25453984E8
42.744835, 3.25649696E8
43.364426, 3.25781888E8
43.98401, 3.25071488E8
44.6036, 3.2552912E8
45.223183, 3.25715328E8
45.842773, 3.25259392E8
46.462357, 3.24870048E8
47.081947, 3.25004384E8
47.70153, 3.24819392E8
48.32112, 3.25003072E8
48.940704, 3.2459728E8
49.560295, 3.254304E8
50.180016, 3.25096576E8
50.800014, 3.25486656E8
51.420017, 3.26509504E8
52.040016, 3.26773984E8
52.660015, 3.26647328E8
53.280014, 3.26544E8
53.900017, 3.2643264E8
54.520016, 3.26257088E8
55.140015, 3.26187712E8
55.760017, 3.2690256E8
56.380016, 3.26245632E8
57.000015, 3.26801184E8
57.620014, 3.2649456E8
58.240017, 3.26519936E8
58.860016, 3.26554656E8
59.480015, 3.26183424E8
