Time s, Total volumic energy [kinetic plus potential]m-3.eV
0.62, 109612.05
1.24, 715830.1
1.86, 745950.1
2.48, 756713.06
3.1, 715645.5
3.72, 714457.2
4.3269033, 725713.44
4.946903, 678323.5
5.5669036, 704994.06
6.1869035, 663656.75
6.8069034, 696273.94
7.4269032, 680010.6
8.046904, 696167.4
8.6669035, 686789.94
9.286903, 656336.6
9.906903, 638982.94
10.526903, 639809.75
11.146903, 658722.1
11.766903, 672082.8
12.386903, 684192.5
13.006904, 621710.7
13.626904, 668267.3
14.246903, 673226.6
14.866903, 654236.44
15.486903, 657186.5
16.106903, 662539.3
16.726904, 660497.06
17.346903, 667832.6
17.966904, 659557.56
18.586903, 651565.9
19.206903, 664823.94
19.826902, 667388.44
20.439707, 640653.4
21.059294, 666265.1
21.67888, 660565.25
22.298468, 676540.1
22.918055, 675151.94
23.537642, 657676.9
24.157228, 638987.8
24.776815, 633079.7
25.396402, 648940.2
26.01599, 660820.44
26.635576, 624338.0
27.255163, 647423.56
27.87475, 639348.1
28.494337, 640007.5
29.113924, 639026.3
29.733511, 638862.8
30.353098, 643513.4
30.972685, 656121.6
31.592272, 678377.1
32.21186, 659544.9
32.831444, 655509.2
33.451035, 642624.75
34.070618, 655495.56
34.69021, 646370.0
35.30979, 668814.94
35.929382, 666349.3
36.548965, 671312.3
37.168556, 669691.2
37.78814, 664919.7
38.40773, 672728.6
39.027313, 668112.44
39.646904, 667883.8
40.266487, 689824.06
40.886078, 656093.06
41.50566, 669139.5
42.12525, 706642.0
42.744835, 715444.94
43.364426, 695094.1
43.98401, 696924.56
44.6036, 695502.1
45.223183, 698032.94
45.842773, 705661.44
46.462357, 718211.75
47.081947, 710542.25
47.70153, 715087.94
48.32112, 733439.75
48.940704, 729600.2
49.560295, 730170.4
50.180016, 714464.5
50.800014, 730111.75
51.420017, 730970.4
52.040016, 746155.56
52.660015, 741679.44
53.280014, 745727.0
53.900017, 767012.7
54.520016, 765126.25
55.140015, 796882.6
55.760017, 789302.9
56.380016, 765358.6
57.000015, 783572.44
57.620014, 763067.5
58.240017, 783904.3
58.860016, 771787.5
59.480015, 765268.8
