Time (s), average differential potential (V), average absolute potential (V)
0.62, 0.053251676, 3.2881687
1.24, -0.046065833, 3.353609
1.86, -0.10525627, 3.3859904
2.48, -0.12933393, 3.4498088
3.1, -0.13196449, 3.5254576
3.72, -0.13343836, 3.5959847
4.3269033, -0.1358451, 3.6617274
4.946903, -0.14612873, 3.7008402
5.5669036, -0.15762141, 3.7467146
6.1869035, -0.17753787, 3.774862
6.8069034, -0.17979094, 3.8122547
7.4269032, -0.17223798, 3.8553932
8.046904, -0.1661127, 3.9013383
8.6669035, -0.1694329, 3.9230304
9.286903, -0.18239862, 3.936283
9.906903, -0.17806587, 3.9537642
10.526903, -0.18210451, 3.9588122
11.146903, -0.18839027, 3.9619389
11.766903, -0.19776699, 3.9616752
12.386903, -0.20120639, 3.9637034
13.006904, -0.20857957, 3.9776843
13.626904, -0.21787234, 3.9793859
14.246903, -0.21957722, 3.9785333
14.866903, -0.21846086, 3.9727623
15.486903, -0.21159646, 3.9836543
16.106903, -0.21057042, 3.986134
16.726904, -0.22018903, 3.9941576
17.346903, -0.22229894, 4.0115314
17.966904, -0.22042704, 4.0042744
18.586903, -0.22307293, 3.9973464
19.206903, -0.22541493, 3.9872212
19.826902, -0.21629336, 3.9924955
20.439707, -0.20600191, 3.9992015
21.059294, -0.20755331, 3.997095
21.67888, -0.21514748, 3.9946792
22.298468, -0.22131546, 4.0021267
22.918055, -0.21156262, 4.0294404
23.537642, -0.21798944, 4.01741
24.157228, -0.20730437, 4.0227437
24.776815, -0.21379486, 4.017037
25.396402, -0.21395256, 4.003049
26.01599, -0.2225861, 3.9831488
26.635576, -0.22904754, 3.9561489
27.255163, -0.23250909, 3.9392729
27.87475, -0.22622764, 3.942223
28.494337, -0.22375444, 3.9343777
29.113924, -0.221793, 3.9367301
29.733511, -0.23432073, 3.9261076
30.353098, -0.23618694, 3.9213457
30.972685, -0.2403667, 3.91134
31.592272, -0.24269389, 3.8901792
32.21186, -0.24949895, 3.8599188
32.831444, -0.2484278, 3.83877
33.451035, -0.24213307, 3.837587
34.070618, -0.25624344, 3.827836
34.69021, -0.25845483, 3.7994561
35.30979, -0.26061362, 3.7614033
35.929382, -0.26752186, 3.7328324
36.548965, -0.2763552, 3.697365
37.168556, -0.28893077, 3.6514437
37.78814, -0.29005906, 3.6200924
38.40773, -0.30546287, 3.5807147
39.027313, -0.3229151, 3.537093
39.646904, -0.32672742, 3.5193295
40.266487, -0.33239856, 3.4873762
40.886078, -0.3436944, 3.4553542
41.50566, -0.3522297, 3.4065745
42.12525, -0.3668074, 3.3647609
42.744835, -0.37814376, 3.3200858
43.364426, -0.39918405, 3.2675948
43.98401, -0.40548408, 3.2112265
44.6036, -0.41056618, 3.17363
45.223183, -0.4235915, 3.1361303
45.842773, -0.4299777, 3.0941014
46.462357, -0.44711584, 3.0363903
47.081947, -0.4645494, 2.9815085
47.70153, -0.48112148, 2.9205203
48.32112, -0.49571827, 2.8591044
48.940704, -0.5134099, 2.801769
49.560295, -0.53055984, 2.741478
50.180016, -0.55185103, 2.6816196
50.800014, -0.56162655, 2.626804
51.420017, -0.5674937, 2.5798972
52.040016, -0.5834784, 2.523034
52.660015, -0.58648014, 2.4756372
53.280014, -0.58912444, 2.4438934
53.900017, -0.5864061, 2.4187183
54.520016, -0.5813652, 2.403068
55.140015, -0.575787, 2.392697
55.760017, -0.57501984, 2.38653
56.380016, -0.5776985, 2.3776672
57.000015, -0.58084255, 2.3599975
57.620014, -0.5695269, 2.3500414
58.240017, -0.56778973, 2.3381083
58.860016, -0.56889486, 2.3205783
59.480015, -0.5691859, 2.320991
