Time (s), esn 0 net current (A), esn 0 collected current (A), esn 0 emitted current (A)
0.62, 8.7401415E-5, -4.4268824E-4, -5.3008966E-4
1.24, 1.6991355E-5, -5.130983E-4, -5.3008966E-4
1.86, 1.9342346E-5, -5.107473E-4, -5.3008966E-4
2.48, 1.8529165E-5, -5.115605E-4, -5.3008966E-4
3.1, 2.2183496E-5, -5.0790614E-4, -5.3008966E-4
3.72, 1.7904391E-5, -5.121853E-4, -5.3008966E-4
4.3269033, 1.3009873E-5, -5.170798E-4, -5.3008966E-4
4.946903, 1.2709624E-5, -5.1738E-4, -5.3008966E-4
5.5669036, 1.43226E-5, -5.157671E-4, -5.3008966E-4
6.1869035, 8.54123E-6, -5.2154844E-4, -5.3008966E-4
6.8069034, 1.0947997E-5, -5.191417E-4, -5.3008966E-4
7.4269032, 9.334547E-6, -5.2075513E-4, -5.3008966E-4
8.046904, 9.582255E-6, -5.205074E-4, -5.3008966E-4
8.6669035, 7.788879E-6, -5.223008E-4, -5.3008966E-4
9.286903, 4.8076786E-6, -5.25282E-4, -5.3008966E-4
9.906903, 5.189399E-6, -5.249003E-4, -5.3008966E-4
10.526903, -2.0500831E-6, -5.3213973E-4, -5.3008966E-4
11.146903, 5.4201173E-6, -5.2466954E-4, -5.3008966E-4
11.766903, -1.104819E-7, -5.3020014E-4, -5.3008966E-4
12.386903, 1.7592251E-6, -5.2833045E-4, -5.3008966E-4
13.006904, 7.653442E-6, -5.224362E-4, -5.3008966E-4
13.626904, 4.304926E-8, -5.300466E-4, -5.3008966E-4
14.246903, -3.7156767E-6, -5.3380535E-4, -5.3008966E-4
14.866903, 2.5804338E-6, -5.275092E-4, -5.3008966E-4
15.486903, 1.0616476E-6, -5.29028E-4, -5.3008966E-4
16.106903, 3.0239255E-7, -5.2978727E-4, -5.3008966E-4
16.726904, 6.1746086E-6, -5.2391505E-4, -5.3008966E-4
17.346903, 1.6163441E-6, -5.284733E-4, -5.3008966E-4
17.966904, -9.2928155E-7, -5.3101894E-4, -5.3008966E-4
18.586903, -2.7555545E-6, -5.328452E-4, -5.3008966E-4
19.206903, -2.0198133E-6, -5.3210946E-4, -5.3008966E-4
19.826902, 2.441571E-6, -5.276481E-4, -5.3008966E-4
20.439707, 5.1162283E-7, -5.295685E-4, -5.300802E-4
21.059294, -2.3154986E-7, -5.301928E-4, -5.2996125E-4
21.67888, -1.7402225E-7, -5.2984664E-4, -5.2967266E-4
22.298468, 8.143792E-6, -5.210699E-4, -5.292137E-4
22.918055, 1.6219174E-6, -5.269626E-4, -5.285845E-4
23.537642, -2.3429395E-6, -5.301284E-4, -5.2778545E-4
24.157228, 2.9231103E-6, -5.2389357E-4, -5.268167E-4
24.776815, -3.8682915E-6, -5.2954676E-4, -5.2567845E-4
25.396402, -1.319133E-6, -5.256904E-4, -5.243713E-4
26.01599, -4.0268187E-6, -5.2692223E-4, -5.228954E-4
26.635576, -7.1042455E-6, -5.2835577E-4, -5.212515E-4
