Time (s) , total current (A)
0.62, 8.7309505E-5
1.24, 2.0800774E-6
1.86, 1.3133452E-5
2.48, 1.4129436E-5
3.1, 2.10587E-5
3.72, 1.6823271E-5
4.3269033, 1.0948098E-5
4.946903, 8.718733E-6
5.5669036, 1.0588485E-5
6.1869035, 5.888514E-6
6.8069034, 9.7393795E-6
7.4269032, 9.355885E-6
8.046904, 8.078471E-6
8.6669035, 5.7315E-6
9.286903, 1.1441555E-6
9.906903, 4.153917E-6
10.526903, -4.4364037E-6
11.146903, 3.993419E-6
11.766903, -2.4582928E-6
12.386903, -1.0353602E-6
13.006904, 4.4429E-6
13.626904, -1.2913904E-6
14.246903, -5.348884E-6
14.866903, 1.92439E-6
15.486903, 2.2194986E-6
16.106903, -3.3572187E-6
16.726904, 3.7603527E-6
17.346903, 1.7991897E-6
17.966904, -1.7312941E-6
18.586903, -5.383222E-6
19.206903, -2.6466498E-6
19.826902, 2.4139729E-6
20.439707, 1.2623434E-7
21.059294, -2.2561776E-6
21.67888, -2.339381E-6
22.298468, 6.8829363E-6
22.918055, 1.8498563E-6
23.537642, -4.8780753E-6
24.157228, 2.3101666E-6
24.776815, -6.1815863E-6
25.396402, -2.9805033E-6
26.01599, -6.9593716E-6
26.635576, -7.640439E-6
27.255163, -2.98326E-6
27.87475, 3.1005797E-7
28.494337, -4.0105065E-6
29.113924, -1.6121209E-6
29.733511, -3.0866788E-6
30.353098, 4.0639594E-7
30.972685, -6.2338245E-6
31.592272, -7.919243E-6
32.21186, -8.53909E-6
32.831444, -3.482416E-6
33.451035, -2.3361572E-6
34.070618, -3.0556948E-6
34.69021, -1.33501435E-5
35.30979, -6.3163384E-6
35.929382, -9.901267E-6
36.548965, -1.16187175E-5
37.168556, -9.404013E-6
37.78814, -9.103193E-6
38.40773, -1.3361335E-5
39.027313, -8.780432E-6
39.646904, -6.330018E-6
40.266487, -9.099072E-6
40.886078, -9.128006E-6
41.50566, -1.3689598E-5
42.12525, -1.2858987E-5
42.744835, -1.0499615E-5
43.364426, -1.591864E-5
43.98401, -1.4391913E-5
44.6036, -1.1117936E-5
45.223183, -8.404799E-6
45.842773, -1.3242748E-5
46.462357, -1.3794127E-5
47.081947, -1.781161E-5
47.70153, -1.4600831E-5
48.32112, -1.640771E-5
48.940704, -1.2990033E-5
49.560295, -1.7169445E-5
50.180016, -1.4784102E-5
50.800014, -1.3551979E-5
51.420017, -1.4591768E-5
52.040016, -1.4305373E-5
52.660015, -8.676161E-6
53.280014, -9.312935E-6
53.900017, -5.595551E-6
54.520016, -3.7508566E-6
55.140015, -2.3407163E-6
55.760017, -1.7798925E-6
56.380016, -5.1644993E-6
57.000015, -4.561905E-6
57.620014, -1.993728E-6
58.240017, -5.6700237E-6
58.860016, -2.7904412E-6
59.480015, -1.1455666E-6
