Time (s) ,simulation time step (s)
0.06, -1.69897
0.12, -1.69897
0.17999999, -1.69897
0.24, -1.69897
0.29999998, -1.69897
0.35999998, -1.69897
0.42, -1.69897
0.48, -1.69897
0.53999996, -1.69897
0.59999996, -1.69897
0.65999997, -1.69897
0.71999997, -1.69897
0.78, -1.69897
0.84, -1.69897
0.9, -1.69897
0.96, -1.69897
1.02, -1.69897
1.0799999, -1.69897
1.14, -1.69897
1.1999999, -1.69897
1.26, -1.69897
1.3199999, -1.69897
1.38, -1.69897
1.4399999, -1.69897
1.5, -1.69897
1.56, -1.69897
1.62, -1.69897
1.68, -1.69897
1.74, -1.69897
1.8, -1.69897
1.86, -1.69897
1.92, -1.69897
1.9799999, -1.69897
2.04, -1.69897
2.1, -1.69897
2.1599998, -1.69897
2.22, -1.69897
2.28, -1.69897
2.34, -1.69897
2.3999999, -1.69897
2.46, -1.69897
2.52, -1.69897
2.58, -1.69897
2.6399999, -1.69897
2.7, -1.69897
2.76, -1.69897
2.82, -1.69897
2.8799999, -1.69897
2.9399998, -1.69897
3.0, -1.69897
3.06, -1.69897
3.12, -1.69897
3.1799998, -1.69897
3.24, -1.69897
3.3, -1.69897
3.36, -1.69897
3.4199998, -1.69897
3.48, -1.69897
3.54, -1.69897
3.6, -1.69897
3.6599998, -1.69897
3.72, -1.69897
3.78, -1.69897
3.84, -1.69897
3.8999999, -1.69897
3.9599998, -1.69897
4.02, -1.69897
4.0869036, -1.69897
4.1469035, -1.69897
4.2069035, -1.69897
4.2669034, -1.69897
4.3269033, -1.69897
4.3869033, -1.69897
4.446903, -1.69897
4.506903, -1.69897
4.5669036, -1.69897
4.6269035, -1.69897
4.6869035, -1.69897
4.7469034, -1.69897
4.8069034, -1.69897
4.8669033, -1.69897
4.9269032, -1.69897
4.986903, -1.69897
5.0469036, -1.69897
5.1069036, -1.69897
5.1669035, -1.69897
5.2269034, -1.69897
5.2869034, -1.69897
5.3469033, -1.69897
5.4069033, -1.69897
5.466903, -1.69897
5.526903, -1.69897
5.5869036, -1.69897
5.6469035, -1.69897
5.7069035, -1.69897
5.7669034, -1.69897
5.8269033, -1.69897
5.8869033, -1.69897
5.946903, -1.69897
6.006903, -1.69897
6.0669036, -1.69897
6.1269035, -1.69897
6.1869035, -1.69897
6.2469034, -1.69897
6.3069034, -1.69897
6.3669033, -1.69897
6.4269032, -1.69897
6.486903, -1.69897
6.546903, -1.69897
6.6069036, -1.69897
6.6669035, -1.69897
6.7269034, -1.69897
6.7869034, -1.69897
6.8469033, -1.69897
6.9069033, -1.69897
6.966903, -1.69897
7.026903, -1.69897
7.0869036, -1.69897
7.1469035, -1.69897
7.2069035, -1.69897
7.2669034, -1.69897
7.3269033, -1.69897
7.3869033, -1.69897
7.446903, -1.69897
7.506903, -1.69897
7.566903, -1.69897
7.6269035, -1.69897
7.6869035, -1.69897
7.7469034, -1.69897
7.8069034, -1.69897
7.8669033, -1.69897
7.9269032, -1.69897
7.986903, -1.69897
8.046904, -1.69897
8.106903, -1.69897
8.1669035, -1.69897
8.226903, -1.69897
8.286903, -1.69897
8.346903, -1.69897
8.406903, -1.69897
8.466904, -1.69897
8.526903, -1.69897
8.586904, -1.69897
8.646903, -1.69897
8.706903, -1.69897
8.766903, -1.69897
8.826903, -1.69897
8.886904, -1.69897
8.946903, -1.69897
9.006904, -1.69897
9.066903, -1.69897
9.126904, -1.69897
9.186903, -1.69897
9.246903, -1.69897
9.306903, -1.69897
9.366903, -1.69897
9.426904, -1.69897
9.486903, -1.69897
9.546904, -1.69897
9.606903, -1.69897
9.6669035, -1.69897
9.726903, -1.69897
9.786903, -1.69897
9.846903, -1.69897
9.906903, -1.69897
9.966904, -1.69897
10.026903, -1.69897
10.086904, -1.69897
10.146903, -1.69897
10.206903, -1.69897
10.266903, -1.69897
10.326903, -1.69897
10.386903, -1.69897
10.446903, -1.69897
10.506904, -1.69897
10.566903, -1.69897
10.626904, -1.69897
10.686903, -1.69897
10.746903, -1.69897
10.806903, -1.69897
10.866903, -1.69897
10.926904, -1.69897
10.986903, -1.69897
11.046904, -1.69897
11.106903, -1.69897
11.1669035, -1.69897
11.226903, -1.69897
11.286903, -1.69897
11.346903, -1.69897
11.406903, -1.69897
11.466904, -1.69897
11.526903, -1.69897
11.586904, -1.69897
11.646903, -1.69897
11.706903, -1.69897
11.766903, -1.69897
11.826903, -1.69897
11.886903, -1.69897
11.946903, -1.69897
12.006904, -1.69897
12.066903, -1.69897
12.126904, -1.69897
12.186903, -1.69897
12.246903, -1.69897
12.306903, -1.69897
12.366903, -1.69897
12.426903, -1.69897
12.486903, -1.69897
12.546904, -1.69897
12.606903, -1.69897
12.6669035, -1.69897
12.726903, -1.69897
12.786903, -1.69897
12.846903, -1.69897
12.906903, -1.69897
12.966904, -1.69897
13.026903, -1.69897
13.086904, -1.69897
13.146903, -1.69897
13.206903, -1.69897
13.266903, -1.69897
