Time (s), esn 0 surface potential difference wrt to esn ground(V)
1.0451469E-6, 8.758856E-6
2.0902937E-6, 1.1580996E-5
3.1354407E-6, 1.1490658E-5
4.1805874E-6, 1.1378899E-5
5.225734E-6, 1.1246651E-5
6.2708814E-6, 1.1179596E-5
7.316028E-6, 1.0989606E-5
8.361175E-6, 1.0848045E-5
9.406322E-6, 1.0818243E-5
1.0451468E-5, 1.0706484E-5
1.1496615E-5, 1.0564923E-5
1.2541763E-5, 1.0661781E-5
1.35869095E-5, 1.0415912E-5
1.4632056E-5, 1.0557473E-5
1.5677202E-5, 1.0348856E-5
1.672235E-5, 1.02594495E-5
1.7767497E-5, 1.013279E-5
1.8812643E-5, 1.013279E-5
1.985779E-5, 1.0162592E-5
2.0902937E-5, 1.0207295E-5
2.1948084E-5, 9.998679E-6
2.299323E-5, 1.0043383E-5
2.4038378E-5, 9.983778E-6
2.5083526E-5, 9.968877E-6
2.6128671E-5, 9.536743E-6
2.7173819E-5, 9.87947E-6
2.8218965E-5, 9.998679E-6
2.9264113E-5, 9.730458E-6
3.0309258E-5, 9.581447E-6
3.1354404E-5, 9.313226E-6
3.2399552E-5, 9.328127E-6
3.34447E-5, 9.447336E-6
3.4489847E-5, 9.745359E-6
3.5534995E-5, 9.343028E-6
3.658014E-5, 9.447336E-6
3.7625286E-5, 9.253621E-6
3.8670434E-5, 9.179115E-6
3.971558E-5, 9.208918E-6
4.0760726E-5, 9.1940165E-6
4.1805873E-5, 9.164214E-6
4.285102E-5, 9.23872E-6
4.389617E-5, 8.895993E-6
4.4941316E-5, 8.761883E-6
4.598646E-5, 8.7320805E-6
4.7031608E-5, 9.119511E-6
4.8076756E-5, 8.6426735E-6
4.9121903E-5, 8.7320805E-6
5.016705E-5, 8.970499E-6
5.1212195E-5, 8.791685E-6
5.2257343E-5, 8.702278E-6
5.330249E-5, 8.702278E-6
5.4347638E-5, 8.7320805E-6
5.5392782E-5, 8.6426735E-6
5.643793E-5, 8.493662E-6
5.7483077E-5, 8.106232E-6
5.8528225E-5, 8.821487E-6
5.9573373E-5, 8.5532665E-6
6.0618517E-5, 7.8082085E-6
6.166367E-5, 8.285046E-6
6.270881E-5, 7.987022E-6
6.3753956E-5, 8.314848E-6
6.4799104E-5, 9.864569E-6
6.584425E-5, 1.1354685E-5
6.68894E-5, 1.0997057E-5
6.793455E-5, 1.2099743E-5
6.8979694E-5, 1.1622906E-5
7.002484E-5, 1.1444092E-5
7.106999E-5, 1.1533499E-5
7.211513E-5, 1.14142895E-5
7.316028E-5, 1.1533499E-5
7.4205425E-5, 1.1771917E-5
7.525057E-5, 1.168251E-5
7.629572E-5, 1.1175871E-5
7.734087E-5, 1.0967255E-5
7.8386016E-5, 1.1056662E-5
7.943116E-5, 1.2010336E-5
8.047631E-5, 1.1563301E-5
8.152145E-5, 1.1384487E-5
8.25666E-5, 1.180172E-5
8.361175E-5, 1.13248825E-5
8.4656895E-5, 1.1444092E-5
8.570204E-5, 1.1175871E-5
8.674719E-5, 1.0818243E-5
8.779234E-5, 1.1086464E-5
8.8837485E-5, 1.1444092E-5
8.988263E-5, 1.0997057E-5
9.092777E-5, 1.1533499E-5
9.197292E-5, 1.1503696E-5
9.301807E-5, 1.0758638E-5
9.4063216E-5, 1.1086464E-5
9.5108364E-5, 1.0997057E-5
9.615351E-5, 1.1742115E-5
9.719866E-5, 1.1920929E-5
9.824381E-5, 1.1116266E-5
9.9288955E-5, 1.0669231E-5
