Time (s), esn 0 average surface potential (V), esn 0 ground potential (V), esn 0 min surface potential (V), esn 0 max surface potential (V)
1.0451469E-6, -0.024628708, -0.024637466, -0.02463708, -0.024627525
2.0902937E-6, -0.059822187, -0.059833765, -0.059830565, -0.05982051
3.1354407E-6, -0.09766808, -0.09767958, -0.09767831, -0.09766632
4.1805874E-6, -0.123995855, -0.12400724, -0.124008864, -0.12399399
5.225734E-6, -0.16780901, -0.16782025, -0.16782661, -0.167807
6.2708814E-6, -0.20239301, -0.2024042, -0.20241056, -0.20238957
7.316028E-6, -0.25080532, -0.2508163, -0.25082508, -0.25079757
8.361175E-6, -0.27825022, -0.27826107, -0.27827066, -0.27824232
9.406322E-6, -0.3002628, -0.3002736, -0.3002832, -0.30025488
1.0451468E-5, -0.33062875, -0.33063948, -0.33064908, -0.3306207
1.1496615E-5, -0.3747114, -0.37472197, -0.37473157, -0.37470323
1.2541763E-5, -0.40101987, -0.40103054, -0.40104014, -0.40101177
1.35869095E-5, -0.4180078, -0.41801822, -0.41802782, -0.41799948
1.4632056E-5, -0.43610248, -0.43611303, -0.43612263, -0.43609565
1.5677202E-5, -0.4651031, -0.46511346, -0.46512306, -0.46510023
1.672235E-5, -0.49285898, -0.49286923, -0.49287882, -0.492856
1.7767497E-5, -0.5155557, -0.5155658, -0.5155754, -0.5155526
1.8812643E-5, -0.5438907, -0.54390085, -0.5439116, -0.5438876
1.985779E-5, -0.5509449, -0.5509551, -0.550967, -0.5509398
2.0902937E-5, -0.5542713, -0.5542815, -0.55429333, -0.5542644
2.1948084E-5, -0.5677545, -0.5677645, -0.5677764, -0.5677471
2.299323E-5, -0.5764632, -0.5764733, -0.57648516, -0.5764559
2.4038378E-5, -0.59873325, -0.5987432, -0.5987551, -0.5987258
2.5083526E-5, -0.61825293, -0.6182629, -0.61827475, -0.6182445
2.6128671E-5, -0.6382946, -0.6383041, -0.638316, -0.6382854
2.7173819E-5, -0.64978385, -0.64979374, -0.6498056, -0.6497743
2.8218965E-5, -0.6711812, -0.6711912, -0.6712031, -0.6711718
2.9264113E-5, -0.686468, -0.6864777, -0.6864896, -0.6864583
3.0309258E-5, -0.699354, -0.6993636, -0.69937545, -0.69934416
3.1354404E-5, -0.71551704, -0.71552634, -0.7155382, -0.7155069
3.2399552E-5, -0.7298373, -0.7298466, -0.72985846, -0.72982717
3.34447E-5, -0.7433068, -0.74331623, -0.7433281, -0.7432968
3.4489847E-5, -0.7570345, -0.7570442, -0.7570561, -0.75702477
3.5534995E-5, -0.7765163, -0.7765257, -0.77653754, -0.77650625
3.658014E-5, -0.80352783, -0.8035373, -0.80355275, -0.8035179
3.7625286E-5, -0.8249137, -0.8249229, -0.8249384, -0.8249035
3.8670434E-5, -0.8436961, -0.8437053, -0.84372073, -0.84368587
3.971558E-5, -0.86005604, -0.8600652, -0.86008066, -0.8600458
4.0760726E-5, -0.86897254, -0.8689817, -0.86899716, -0.8689623
4.1805873E-5, -0.8865923, -0.8866015, -0.88661695, -0.8865821
4.285102E-5, -0.8980989, -0.8981081, -0.89812917, -0.8980887
4.389617E-5, -0.91484666, -0.9148556, -0.91487664, -0.91483617
4.4941316E-5, -0.9376784, -0.93768716, -0.9377082, -0.9376677
4.598646E-5, -0.95073456, -0.95074326, -0.9507643, -0.9507238
4.7031608E-5, -0.9584604, -0.9584695, -0.95849055, -0.9584501
4.8076756E-5, -0.9705063, -0.97051495, -0.970536, -0.9704955
4.9121903E-5, -0.989115, -0.98912376, -0.9891448, -0.98910433
5.016705E-5, -1.0132314, -1.0132403, -1.0132613, -1.013221
5.1212195E-5, -1.029588, -1.0295967, -1.0296177, -1.0295773
5.2257343E-5, -1.0363696, -1.0363784, -1.0363994, -1.0363588
5.330249E-5, -1.0506477, -1.0506566, -1.0506775, -1.050637
5.4347638E-5, -1.0547163, -1.054725, -1.054746, -1.0547056
5.5392782E-5, -1.0584693, -1.058478, -1.058499, -1.0584586
5.643793E-5, -1.0641923, -1.0642009, -1.0642219, -1.0641814
5.7483077E-5, -1.0743419, -1.07435, -1.074371, -1.0743306
5.8528225E-5, -1.0800674, -1.0800762, -1.0800972, -1.0800568
5.9573373E-5, -1.0889432, -1.0889517, -1.0889727, -1.0889323
6.0618517E-5, -1.0987529, -1.0987606, -1.0987816, -1.0987413
6.166367E-5, -1.1150244, -1.1150327, -1.1150537, -1.1150134
6.270881E-5, -1.1209298, -1.1209378, -1.1209588, -1.1209184
6.3753956E-5, -1.141261, -1.1412692, -1.1412902, -1.1412499
6.4799104E-5, -1.1600947, -1.1601046, -1.1611015, -1.1557766
6.584425E-5, -1.1843876, -1.1843989, -1.1863716, -1.1757638
6.68894E-5, -1.1880286, -1.1880397, -1.1900123, -1.1794046
6.793455E-5, -1.1968563, -1.1968683, -1.198841, -1.1882333
6.8979694E-5, -1.20664, -1.2066517, -1.2086244, -1.1980166
7.002484E-5, -1.205951, -1.2059624, -1.2079351, -1.1973274
7.106999E-5, -1.207972, -1.2079835, -1.2099562, -1.1993484
7.211513E-5, -1.2179768, -1.2179883, -1.2199609, -1.2093532
7.316028E-5, -1.224051, -1.2240626, -1.2260352, -1.2154274
7.4205425E-5, -1.2295376, -1.2295494, -1.2315221, -1.2209142
7.525057E-5, -1.2401648, -1.2401764, -1.2421491, -1.2315414
7.629572E-5, -1.2498399, -1.2498511, -1.2518238, -1.241216
7.734087E-5, -1.2599981, -1.260009, -1.2619817, -1.2513739
7.8386016E-5, -1.2656858, -1.2656968, -1.2676694, -1.2570616
7.943116E-5, -1.2755924, -1.2756045, -1.2775772, -1.2669693
8.047631E-5, -1.2773948, -1.2774063, -1.279379, -1.2687712
8.152145E-5, -1.2848728, -1.2848842, -1.2868569, -1.276249
8.25666E-5, -1.295479, -1.2954907, -1.2974634, -1.2868557
8.361175E-5, -1.3041674, -1.3041787, -1.3061514, -1.2955436
8.4656895E-5, -1.3064477, -1.3064592, -1.3084319, -1.2978239
8.570204E-5, -1.3118376, -1.3118486, -1.3138213, -1.3032136
8.674719E-5, -1.3204949, -1.3205056, -1.3224783, -1.3118705
8.779234E-5, -1.3341463, -1.3341573, -1.33613, -1.3255222
8.8837485E-5, -1.3385172, -1.3385286, -1.3405013, -1.3298936
8.988263E-5, -1.342397, -1.342408, -1.3443806, -1.3337728
9.092777E-5, -1.3509637, -1.3509753, -1.352948, -1.34234
9.197292E-5, -1.3582659, -1.3582774, -1.3602501, -1.3496423
9.301807E-5, -1.359017, -1.3590277, -1.3610004, -1.3503926
9.4063216E-5, -1.3749788, -1.3749899, -1.3769625, -1.3663547
9.5108364E-5, -1.3807805, -1.3807914, -1.3827641, -1.3721564
9.615351E-5, -1.3924124, -1.3924241, -1.3943968, -1.383789
9.719866E-5, -1.3957549, -1.3957669, -1.3977395, -1.3871317
9.824381E-5, -1.400199, -1.4002101, -1.4021828, -1.391575
9.9288955E-5, -1.410095, -1.4101057, -1.4120784, -1.4014705
