Time s, Total volumic energy [kinetic plus potential]m-3.eV
1.0451469E-6, 378249.72
2.0902937E-6, 376942.72
3.1354407E-6, 376441.66
4.1805874E-6, 376108.56
5.225734E-6, 375410.88
6.2708814E-6, 371296.88
7.316028E-6, 369063.78
8.361175E-6, 369428.06
9.406322E-6, 370156.8
1.0451468E-5, 370060.56
1.1496615E-5, 368739.03
1.2541763E-5, 367978.9
1.35869095E-5, 367309.8
1.4632056E-5, 365274.38
1.5677202E-5, 363619.3
1.672235E-5, 364857.88
1.7767497E-5, 364461.34
1.8812643E-5, 362958.9
1.985779E-5, 363752.9
2.0902937E-5, 362845.9
2.1948084E-5, 363753.38
2.299323E-5, 363468.5
2.4038378E-5, 363667.62
2.5083526E-5, 363611.3
2.6128671E-5, 363558.16
2.7173819E-5, 363921.1
2.8218965E-5, 363607.16
2.9264113E-5, 363537.53
3.0309258E-5, 365213.1
3.1354404E-5, 365092.16
3.2399552E-5, 366151.78
3.34447E-5, 364614.53
3.4489847E-5, 364718.2
3.5534995E-5, 364803.06
3.658014E-5, 362617.94
3.7625286E-5, 363807.38
3.8670434E-5, 362422.88
3.971558E-5, 362220.1
4.0760726E-5, 361930.06
4.1805873E-5, 361550.47
4.285102E-5, 361255.94
4.389617E-5, 360505.62
4.4941316E-5, 361216.44
4.598646E-5, 359085.2
4.7031608E-5, 359480.06
4.8076756E-5, 360041.16
4.9121903E-5, 359359.75
5.016705E-5, 359678.84
5.1212195E-5, 361501.22
5.2257343E-5, 361313.3
5.330249E-5, 359690.56
5.4347638E-5, 359202.72
5.5392782E-5, 359587.0
5.643793E-5, 361064.1
5.7483077E-5, 360317.44
5.8528225E-5, 359752.53
5.9573373E-5, 360889.6
6.0618517E-5, 361632.12
6.166367E-5, 361157.0
6.270881E-5, 362070.47
6.3753956E-5, 361267.12
6.4799104E-5, 361612.4
6.584425E-5, 361435.25
6.68894E-5, 362183.3
6.793455E-5, 363563.2
6.8979694E-5, 363621.44
7.002484E-5, 363327.62
7.106999E-5, 361833.7
7.211513E-5, 362513.03
7.316028E-5, 363428.9
7.4205425E-5, 363181.25
7.525057E-5, 362478.44
7.629572E-5, 361504.16
7.734087E-5, 359937.38
7.8386016E-5, 360081.6
7.943116E-5, 359501.44
8.047631E-5, 360024.06
8.152145E-5, 360527.7
8.25666E-5, 359704.4
8.361175E-5, 359123.16
8.4656895E-5, 358570.22
8.570204E-5, 358009.5
8.674719E-5, 356918.8
8.779234E-5, 357625.3
8.8837485E-5, 357844.4
8.988263E-5, 358869.47
9.092777E-5, 357654.03
9.197292E-5, 357109.88
9.301807E-5, 355957.0
9.4063216E-5, 356488.38
9.5108364E-5, 356336.78
9.615351E-5, 356669.1
9.719866E-5, 356810.97
9.824381E-5, 356729.53
9.9288955E-5, 355680.47
