Time s, Total volumic energy [kinetic plus potential]m-3.eV
1.0451469E-6, 376154.97
2.0902937E-6, 375528.16
3.1354407E-6, 374820.5
4.1805874E-6, 374315.06
5.225734E-6, 373497.9
6.2708814E-6, 373128.2
7.316028E-6, 372668.9
8.361175E-6, 371799.2
9.406322E-6, 371185.6
1.0451468E-5, 370423.22
1.1496615E-5, 369853.5
1.2541763E-5, 368843.47
1.35869095E-5, 368526.6
1.4632056E-5, 368185.94
1.5677202E-5, 367958.16
1.672235E-5, 367349.5
1.7767497E-5, 366831.53
1.8812643E-5, 366563.75
1.985779E-5, 366249.22
2.0902937E-5, 365884.5
2.1948084E-5, 365567.06
2.299323E-5, 365076.7
2.4038378E-5, 364975.88
2.5083526E-5, 364537.78
2.6128671E-5, 364084.75
2.7173819E-5, 363677.47
2.8218965E-5, 363387.0
2.9264113E-5, 363270.3
3.0309258E-5, 362872.0
3.1354404E-5, 362571.8
3.2399552E-5, 361980.62
3.34447E-5, 361555.53
3.4489847E-5, 361591.88
3.5534995E-5, 361699.12
3.658014E-5, 361300.44
3.7625286E-5, 360621.8
3.8670434E-5, 360350.47
3.971558E-5, 360143.22
4.0760726E-5, 359955.06
4.1805873E-5, 359664.44
4.285102E-5, 359727.72
4.389617E-5, 359785.47
4.4941316E-5, 359201.75
4.598646E-5, 358990.12
4.7031608E-5, 358942.84
4.8076756E-5, 359030.6
4.9121903E-5, 358687.22
5.016705E-5, 358780.03
5.1212195E-5, 358017.44
5.2257343E-5, 357794.7
5.330249E-5, 357948.4
5.4347638E-5, 357971.6
5.5392782E-5, 358087.53
5.643793E-5, 358075.8
5.7483077E-5, 357857.3
5.8528225E-5, 357871.75
5.9573373E-5, 357620.53
6.0618517E-5, 357207.72
6.166367E-5, 356912.88
6.270881E-5, 356413.66
6.3753956E-5, 356385.34
6.4799104E-5, 356097.03
6.584425E-5, 355170.03
6.68894E-5, 354894.25
6.793455E-5, 354513.4
6.8979694E-5, 354146.97
7.002484E-5, 354130.3
7.106999E-5, 354713.72
7.211513E-5, 354643.53
7.316028E-5, 354431.56
7.4205425E-5, 354099.12
7.525057E-5, 354080.78
7.629572E-5, 354203.38
7.734087E-5, 354631.97
7.8386016E-5, 354472.0
7.943116E-5, 354247.5
8.047631E-5, 354471.1
8.152145E-5, 354486.53
8.25666E-5, 354151.38
8.361175E-5, 354383.03
8.4656895E-5, 354190.8
8.570204E-5, 354444.34
8.674719E-5, 354418.44
8.779234E-5, 353956.16
8.8837485E-5, 353816.94
8.988263E-5, 353899.47
9.092777E-5, 353884.75
9.197292E-5, 353631.88
9.301807E-5, 353393.53
9.4063216E-5, 353159.16
9.5108364E-5, 353063.47
9.615351E-5, 352808.22
9.719866E-5, 352702.75
9.824381E-5, 352795.4
9.9288955E-5, 352954.5
