Time s, total number of superparticles-
1.0451469E-6, 22343.5
2.0902937E-6, 25205.75
3.1354407E-6, 27982.0
4.1805874E-6, 30652.75
5.225734E-6, 33149.5
6.2708814E-6, 35561.75
7.316028E-6, 37927.75
8.361175E-6, 40209.25
9.406322E-6, 42390.5
1.0451468E-5, 44480.25
1.1496615E-5, 46436.0
1.2541763E-5, 48291.75
1.35869095E-5, 50022.25
1.4632056E-5, 51687.75
1.5677202E-5, 53345.0
1.672235E-5, 54925.75
1.7767497E-5, 56376.0
1.8812643E-5, 57746.0
1.985779E-5, 59085.5
2.0902937E-5, 60374.75
2.1948084E-5, 61610.25
2.299323E-5, 62685.25
2.4038378E-5, 63683.0
2.5083526E-5, 64699.25
2.6128671E-5, 65671.5
2.7173819E-5, 66590.5
2.8218965E-5, 67366.25
2.9264113E-5, 68142.75
3.0309258E-5, 68844.75
3.1354404E-5, 69543.5
3.2399552E-5, 70168.75
3.34447E-5, 70682.0
3.4489847E-5, 71228.0
3.5534995E-5, 71743.75
3.658014E-5, 72263.75
3.7625286E-5, 72624.0
3.8670434E-5, 72939.0
3.971558E-5, 73346.25
4.0760726E-5, 73727.5
4.1805873E-5, 74103.5
4.285102E-5, 74456.25
4.389617E-5, 74801.0
4.4941316E-5, 75068.5
4.598646E-5, 75253.25
4.7031608E-5, 75441.25
4.8076756E-5, 75691.25
4.9121903E-5, 75779.5
5.016705E-5, 75940.75
5.1212195E-5, 76146.0
5.2257343E-5, 76313.75
5.330249E-5, 76357.0
5.4347638E-5, 76500.75
5.5392782E-5, 76612.0
5.643793E-5, 76748.25
5.7483077E-5, 76837.0
5.8528225E-5, 76883.75
5.9573373E-5, 77008.25
6.0618517E-5, 77114.5
6.166367E-5, 77169.25
6.270881E-5, 77178.25
6.3753956E-5, 77236.5
6.4799104E-5, 77320.5
6.584425E-5, 77382.5
6.68894E-5, 77500.5
6.793455E-5, 77566.0
6.8979694E-5, 77674.0
7.002484E-5, 77631.5
7.106999E-5, 77618.5
7.211513E-5, 77606.75
7.316028E-5, 77574.5
7.4205425E-5, 77563.5
7.525057E-5, 77579.5
7.629572E-5, 77573.25
7.734087E-5, 77592.5
7.8386016E-5, 77628.75
7.943116E-5, 77509.75
8.047631E-5, 77480.0
8.152145E-5, 77530.0
8.25666E-5, 77478.75
8.361175E-5, 77411.5
8.4656895E-5, 77345.25
8.570204E-5, 77381.0
8.674719E-5, 77298.25
8.779234E-5, 77328.5
8.8837485E-5, 77271.75
8.988263E-5, 77262.25
9.092777E-5, 77190.75
9.197292E-5, 77197.5
9.301807E-5, 77212.5
9.4063216E-5, 77216.75
9.5108364E-5, 77221.75
9.615351E-5, 77267.5
9.719866E-5, 77259.25
9.824381E-5, 77216.5
9.9288955E-5, 77168.0
