Time s, total number of superparticles-
1.0451469E-6, 21859.75
2.0902937E-6, 24026.0
3.1354407E-6, 26184.25
4.1805874E-6, 28337.5
5.225734E-6, 30495.0
6.2708814E-6, 32641.5
7.316028E-6, 34796.25
8.361175E-6, 36943.75
9.406322E-6, 39092.25
1.0451468E-5, 41240.5
1.1496615E-5, 43386.0
1.2541763E-5, 45521.0
1.35869095E-5, 47656.25
1.4632056E-5, 49791.75
1.5677202E-5, 51925.75
1.672235E-5, 54048.5
1.7767497E-5, 56176.0
1.8812643E-5, 58313.25
1.985779E-5, 60439.5
2.0902937E-5, 62560.0
2.1948084E-5, 64675.75
2.299323E-5, 66797.25
2.4038378E-5, 68928.25
2.5083526E-5, 71038.0
2.6128671E-5, 73152.25
2.7173819E-5, 75259.5
2.8218965E-5, 77372.25
2.9264113E-5, 79483.5
3.0309258E-5, 81597.5
3.1354404E-5, 83702.25
3.2399552E-5, 85793.5
3.34447E-5, 87891.0
3.4489847E-5, 90001.0
3.5534995E-5, 92106.0
3.658014E-5, 94189.0
3.7625286E-5, 96266.5
3.8670434E-5, 98347.75
3.971558E-5, 100440.75
4.0760726E-5, 102526.25
4.1805873E-5, 104617.0
4.285102E-5, 106706.5
4.389617E-5, 108790.5
4.4941316E-5, 110862.5
4.598646E-5, 112949.75
4.7031608E-5, 115043.25
4.8076756E-5, 117118.0
4.9121903E-5, 119188.5
5.016705E-5, 121254.0
5.1212195E-5, 123331.0
5.2257343E-5, 125399.0
5.330249E-5, 127459.25
5.4347638E-5, 129528.0
5.5392782E-5, 131580.5
5.643793E-5, 133655.75
5.7483077E-5, 135718.5
5.8528225E-5, 137779.25
5.9573373E-5, 139818.5
6.0618517E-5, 141861.5
6.166367E-5, 143884.5
6.270881E-5, 145937.75
6.3753956E-5, 147991.0
6.4799104E-5, 150024.25
6.584425E-5, 152077.75
6.68894E-5, 154118.5
6.793455E-5, 156159.5
6.8979694E-5, 158213.0
7.002484E-5, 160273.75
7.106999E-5, 162323.5
7.211513E-5, 164340.25
7.316028E-5, 166349.75
7.4205425E-5, 168362.75
7.525057E-5, 170416.5
7.629572E-5, 172455.0
7.734087E-5, 174477.75
7.8386016E-5, 176492.75
7.943116E-5, 178503.75
8.047631E-5, 180533.5
8.152145E-5, 182550.0
8.25666E-5, 184558.0
8.361175E-5, 186569.0
8.4656895E-5, 188575.25
8.570204E-5, 190581.75
8.674719E-5, 192591.75
8.779234E-5, 194597.75
8.8837485E-5, 196600.25
8.988263E-5, 198602.5
9.092777E-5, 200598.25
9.197292E-5, 202591.25
9.301807E-5, 204613.25
9.4063216E-5, 206598.75
9.5108364E-5, 208587.0
9.615351E-5, 210579.25
9.719866E-5, 212569.75
9.824381E-5, 214556.75
9.9288955E-5, 216545.25
