Time (s), average differential potential (V), average absolute potential (V)
1.0451469E-6, 8.763918E-6, -0.02463746
2.0902937E-6, 1.1606131E-5, -0.05983376
3.1354407E-6, 1.1489797E-5, -0.09767957
4.1805874E-6, 1.1410302E-5, -0.124007255
5.225734E-6, 1.1280056E-5, -0.16782027
6.2708814E-6, 1.1176305E-5, -0.2024043
7.316028E-6, 1.1029422E-5, -0.25081638
8.361175E-6, 1.0947817E-5, -0.27826104
9.406322E-6, 1.0882391E-5, -0.30027354
1.0451468E-5, 1.0792125E-5, -0.33063948
1.1496615E-5, 1.0660953E-5, -0.374722
1.2541763E-5, 1.0582766E-5, -0.40103063
1.35869095E-5, 1.0532249E-5, -0.4180181
1.4632056E-5, 1.0478455E-5, -0.43611306
1.5677202E-5, 1.0392314E-5, -0.46511346
1.672235E-5, 1.0322053E-5, -0.49286917
1.7767497E-5, 1.0266822E-5, -0.5155659
1.8812643E-5, 1.0182652E-5, -0.5439007
1.985779E-5, 1.0161591E-5, -0.5509554
2.0902937E-5, 1.0151507E-5, -0.5542814
2.1948084E-5, 1.0111497E-5, -0.5677643
2.299323E-5, 1.0085959E-5, -0.5764734
2.4038378E-5, 1.0019757E-5, -0.5987432
2.5083526E-5, 9.961436E-6, -0.6182629
2.6128671E-5, 9.9016725E-6, -0.6383042
2.7173819E-5, 9.867508E-6, -0.64979374
2.8218965E-5, 9.803811E-6, -0.67119163
2.9264113E-5, 9.758147E-6, -0.6864778
3.0309258E-5, 9.719846E-6, -0.6993635
3.1354404E-5, 9.671793E-6, -0.7155262
3.2399552E-5, 9.629266E-6, -0.729847
3.34447E-5, 9.589193E-6, -0.74331605
3.4489847E-5, 9.5483365E-6, -0.75704443
3.5534995E-5, 9.490505E-6, -0.7765256
3.658014E-5, 9.411695E-6, -0.80353737
3.7625286E-5, 9.348609E-6, -0.8249232
3.8670434E-5, 9.292857E-6, -0.84370536
3.971558E-5, 9.244238E-6, -0.86006546
4.0760726E-5, 9.217687E-6, -0.868982
4.1805873E-5, 9.165316E-6, -0.8866016
4.285102E-5, 9.131174E-6, -0.8981081
4.389617E-5, 9.081454E-6, -0.91485596
4.4941316E-5, 9.013694E-6, -0.93768746
4.598646E-5, 8.974821E-6, -0.9507435
4.7031608E-5, 8.951892E-6, -0.9584696
4.8076756E-5, 8.916009E-6, -0.97051495
4.9121903E-5, 8.864315E-6, -0.9891238
5.016705E-5, 8.803121E-6, -1.0132407
5.1212195E-5, 8.754752E-6, -1.0295968
5.2257343E-5, 8.734572E-6, -1.0363786
5.330249E-5, 8.691918E-6, -1.0506567
5.4347638E-5, 8.679886E-6, -1.0547252
5.5392782E-5, 8.668792E-6, -1.0584774
5.643793E-5, 8.651862E-6, -1.0642011
5.7483077E-5, 8.621772E-6, -1.0743502
5.8528225E-5, 8.604693E-6, -1.0800765
5.9573373E-5, 8.578037E-6, -1.0889521
6.0618517E-5, 8.548747E-6, -1.0987607
6.166367E-5, 8.500321E-6, -1.1150329
6.270881E-5, 8.482751E-6, -1.120938
6.3753956E-5, 8.421917E-6, -1.1412696
6.4799104E-5, 1.0144342E-5, -1.1601049
6.584425E-5, 1.1850665E-5, -1.1843991
6.68894E-5, 1.1839819E-5, -1.1880401
6.793455E-5, 1.181341E-5, -1.1968683
6.8979694E-5, 1.17842055E-5, -1.2066519
7.002484E-5, 1.1786306E-5, -1.205963
7.106999E-5, 1.178032E-5, -1.2079837
7.211513E-5, 1.1750908E-5, -1.2179887
7.316028E-5, 1.1733036E-5, -1.2240627
7.4205425E-5, 1.1716641E-5, -1.2295495
7.525057E-5, 1.1685079E-5, -1.2401768
7.629572E-5, 1.1656365E-5, -1.2498513
7.734087E-5, 1.1626389E-5, -1.2600089
7.8386016E-5, 1.1609445E-5, -1.2656969
7.943116E-5, 1.1580132E-5, -1.2756053
8.047631E-5, 1.1574814E-5, -1.2774067
8.152145E-5, 1.1552501E-5, -1.2848843
8.25666E-5, 1.15210905E-5, -1.2954912
8.361175E-5, 1.1495044E-5, -1.3041791
8.4656895E-5, 1.1488103E-5, -1.3064588
8.570204E-5, 1.1471959E-5, -1.3118482
8.674719E-5, 1.1446362E-5, -1.3205059
8.779234E-5, 1.1405603E-5, -1.3341578
8.8837485E-5, 1.1392582E-5, -1.3385293
8.988263E-5, 1.1381062E-5, -1.342409
9.092777E-5, 1.1355497E-5, -1.3509752
9.197292E-5, 1.1333968E-5, -1.3582777
9.301807E-5, 1.1331724E-5, -1.359028
9.4063216E-5, 1.1284744E-5, -1.3749902
9.5108364E-5, 1.1267499E-5, -1.3807919
9.615351E-5, 1.1232978E-5, -1.3924239
9.719866E-5, 1.122307E-5, -1.3957666
9.824381E-5, 1.121E-5, -1.4002104
9.9288955E-5, 1.1180657E-5, -1.4101055
