Time (s), variation of the average surface potential of esn 0 (s-1.V)
1.0451469E-6, -35021.76
2.0902937E-6, -35059.938
3.1354407E-6, -30875.031
4.1805874E-6, -30779.74
5.225734E-6, -38461.152
6.2708814E-6, -38249.598
7.316028E-6, -40887.66
8.361175E-6, -27238.232
9.406322E-6, -18200.074
1.0451468E-5, -41098.957
1.1496615E-5, -39287.77
1.2541763E-5, -9969.372
1.35869095E-5, -21660.85
1.4632056E-5, -20809.99
1.5677202E-5, -27873.717
1.672235E-5, -24352.66
1.7767497E-5, -25134.627
1.8812643E-5, -19443.041
1.985779E-5, -6290.572
2.0902937E-5, 488.17615
2.1948084E-5, -16297.954
2.299323E-5, -6880.7173
2.4038378E-5, -27861.398
2.5083526E-5, -16440.586
2.6128671E-5, -13035.158
2.7173819E-5, -16738.055
2.8218965E-5, -24303.074
2.9264113E-5, -10295.498
3.0309258E-5, -11381.519
3.1354404E-5, -16764.23
3.2399552E-5, -11176.838
3.34447E-5, -15720.755
3.4489847E-5, -13719.974
3.5534995E-5, -18502.846
3.658014E-5, -25778.61
3.7625286E-5, -21621.014
3.8670434E-5, -17658.973
3.971558E-5, -11595.723
4.0760726E-5, -12631.387
4.1805873E-5, -12735.865
4.285102E-5, -14376.274
4.389617E-5, -24822.16
4.4941316E-5, -12990.675
4.598646E-5, -12244.78
4.7031608E-5, -2554.9404
4.8076756E-5, -13504.458
4.9121903E-5, -26482.814
5.016705E-5, -16429.637
5.1212195E-5, -16166.729
5.2257343E-5, -1714.3195
5.330249E-5, -13483.471
5.4347638E-5, -6312.186
5.5392782E-5, 717.2083
5.643793E-5, -15272.613
5.7483077E-5, -3797.1663
5.8528225E-5, -3507.112
5.9573373E-5, -10841.16
6.0618517E-5, -6015.288
6.166367E-5, -16687.07
6.270881E-5, -10982.252
6.3753956E-5, -17977.656
6.4799104E-5, -27139.855
6.584425E-5, -10403.74
6.68894E-5, -3165.1606
6.793455E-5, -15310.709
6.8979694E-5, -1046.1569
7.002484E-5, 0.0
7.106999E-5, -4025.9705
7.211513E-5, -8541.258
7.316028E-5, -6334.656
7.4205425E-5, -6100.1484
7.525057E-5, -15187.753
7.629572E-5, -8786.601
7.734087E-5, -2736.0676
7.8386016E-5, -14726.837
7.943116E-5, -258.57367
8.047631E-5, -3319.5977
8.152145E-5, -7326.9766
8.25666E-5, -9537.0
8.361175E-5, -6959.9316
8.4656895E-5, -4628.4346
8.570204E-5, -6844.7314
8.674719E-5, -13997.424
8.779234E-5, -3345.7175
8.8837485E-5, -7034.641
8.988263E-5, -1146.1874
9.092777E-5, -13102.625
9.197292E-5, -3588.665
9.301807E-5, -7224.6646
9.4063216E-5, -10562.74
9.5108364E-5, -7841.044
9.615351E-5, -8446.816
9.719866E-5, 0.0
9.824381E-5, -8528.255
9.9288955E-5, -7119.7295
