Time (s) , total current (A)
1.0451469E-6, -3.4962258E-7
2.0902937E-6, -3.5068612E-7
3.1354407E-6, -3.0835858E-7
4.1805874E-6, -3.0710228E-7
5.225734E-6, -3.854056E-7
6.2708814E-6, -3.8229604E-7
7.316028E-6, -4.0913403E-7
8.361175E-6, -2.7155878E-7
9.406322E-6, -1.8177222E-7
1.0451468E-5, -4.1104198E-7
1.1496615E-5, -3.9294574E-7
1.2541763E-5, -9.93017E-8
1.35869095E-5, -2.1613175E-7
1.4632056E-5, -2.0786585E-7
1.5677202E-5, -2.7811748E-7
1.672235E-5, -2.431631E-7
1.7767497E-5, -2.512672E-7
1.8812643E-5, -1.9386655E-7
1.985779E-5, -6.2577996E-8
2.0902937E-5, 4.8524917E-9
2.1948084E-5, -1.6257158E-7
2.299323E-5, -6.860232E-8
2.4038378E-5, -2.7798285E-7
2.5083526E-5, -1.6429293E-7
2.6128671E-5, -1.3037632E-7
2.7173819E-5, -1.6679662E-7
2.8218965E-5, -2.4243846E-7
2.9264113E-5, -1.0245286E-7
3.0309258E-5, -1.1330084E-7
3.1354404E-5, -1.6756991E-7
3.2399552E-5, -1.1138397E-7
3.34447E-5, -1.5651644E-7
3.4489847E-5, -1.3669761E-7
3.5534995E-5, -1.8451755E-7
3.658014E-5, -2.5749844E-7
3.7625286E-5, -2.155368E-7
3.8670434E-5, -1.7583722E-7
3.971558E-5, -1.15459116E-7
4.0760726E-5, -1.2598215E-7
4.1805873E-5, -1.268197E-7
4.285102E-5, -1.4323123E-7
4.389617E-5, -2.4832676E-7
4.4941316E-5, -1.2948637E-7
4.598646E-5, -1.2191559E-7
4.7031608E-5, -2.5420906E-8
4.8076756E-5, -1.345508E-7
4.9121903E-5, -2.64371E-7
5.016705E-5, -1.639916E-7
5.1212195E-5, -1.6124335E-7
5.2257343E-5, -1.7058534E-8
5.330249E-5, -1.3450207E-7
5.4347638E-5, -6.2930674E-8
5.5392782E-5, 7.123246E-9
5.643793E-5, -1.5241781E-7
5.7483077E-5, -3.7796124E-8
5.8528225E-5, -3.4914038E-8
5.9573373E-5, -1.0800267E-7
6.0618517E-5, -5.995167E-8
6.166367E-5, -1.6693328E-7
6.270881E-5, -1.09449985E-7
6.3753956E-5, -1.7933792E-7
6.4799104E-5, -8.4308965E-8
6.584425E-5, -1.03638E-7
6.68894E-5, -3.148976E-8
6.793455E-5, -1.5274604E-7
6.8979694E-5, -1.04413225E-8
7.002484E-5, 0.0
7.106999E-5, -4.007655E-8
7.211513E-5, -8.5091834E-8
7.316028E-5, -6.313904E-8
7.4205425E-5, -6.090633E-8
7.525057E-5, -1.5127266E-7
7.629572E-5, -8.76479E-8
7.734087E-5, -2.7216386E-8
7.8386016E-5, -1.46868E-7
7.943116E-5, -2.5808848E-9
8.047631E-5, -3.3021873E-8
8.152145E-5, -7.3073124E-8
8.25666E-5, -9.507468E-8
8.361175E-5, -6.941107E-8
8.4656895E-5, -4.6095632E-8
8.570204E-5, -6.816816E-8
8.674719E-5, -1.3972823E-7
8.779234E-5, -3.3292316E-8
8.8837485E-5, -7.002339E-8
8.988263E-5, -1.1406348E-8
9.092777E-5, -1.3061828E-7
9.197292E-5, -3.571195E-8
9.301807E-5, -4.7223754E-8
9.4063216E-5, -1.0525079E-7
9.5108364E-5, -7.820183E-8
9.615351E-5, -8.411561E-8
9.719866E-5, 0.0
9.824381E-5, -8.491733E-8
9.9288955E-5, -7.1014355E-8
