#    time,   allPop,  allPop, ions1, ions1, elec1, elec1, 
#        ,   allNodes,  node0,  allNodes,  node0,  allNodes,  node0, 
1.0451469E-6, -3.4962258E-7, -3.4962258E-7, 0.0, 0.0, -3.4962258E-7, -3.4962258E-7, 
2.0902937E-6, -3.5068612E-7, -3.5068612E-7, 0.0, 0.0, -3.5068612E-7, -3.5068612E-7, 
3.1354407E-6, -3.0835858E-7, -3.0835858E-7, 0.0, 0.0, -3.0835858E-7, -3.0835858E-7, 
4.1805874E-6, -3.0710228E-7, -3.0710228E-7, 0.0, 0.0, -3.0710228E-7, -3.0710228E-7, 
5.225734E-6, -3.8540563E-7, -3.8540563E-7, 0.0, 0.0, -3.8540563E-7, -3.8540563E-7, 
6.0095945E-6, -3.523689E-7, -3.523689E-7, 0.0, 0.0, -3.523689E-7, -3.523689E-7, 
7.054741E-6, -4.7246448E-7, -4.7246448E-7, 2.6894044E-8, 2.6894044E-8, -4.993586E-7, -4.993586E-7, 
8.099888E-6, -2.5249386E-7, -2.5249386E-7, 0.0, 0.0, -2.5249386E-7, -2.5249386E-7, 
9.145035E-6, -1.9711999E-7, -1.9711999E-7, 0.0, 0.0, -1.9711999E-7, -1.9711999E-7, 
1.01901815E-5, -2.829635E-7, -2.829635E-7, 0.0, 0.0, -2.829635E-7, -2.829635E-7, 
1.1235329E-5, -4.0087227E-7, -4.0087227E-7, 0.0, 0.0, -4.0087227E-7, -4.0087227E-7, 
1.2019189E-5, -3.7047957E-7, -3.7047957E-7, 0.0, 0.0, -3.7047957E-7, -3.7047957E-7, 
1.3064336E-5, -1.01824206E-7, -1.01824206E-7, 0.0, 0.0, -1.01824206E-7, -1.01824206E-7, 
1.4109482E-5, -2.196319E-7, -2.196319E-7, 0.0, 0.0, -2.196319E-7, -2.196319E-7, 
1.5154629E-5, -2.620484E-7, -2.620484E-7, 0.0, 0.0, -2.620484E-7, -2.620484E-7, 
1.6199776E-5, -2.2810413E-7, -2.2810413E-7, 0.0, 0.0, -2.2810413E-7, -2.2810413E-7, 
1.7244924E-5, -1.9720103E-7, -1.9720103E-7, 0.0, 0.0, -1.9720103E-7, -1.9720103E-7, 
1.8028783E-5, -3.73464E-7, -3.73464E-7, 0.0, 0.0, -3.73464E-7, -3.73464E-7, 
1.907393E-5, -1.0150437E-7, -1.0150437E-7, 0.0, 0.0, -1.0150437E-7, -1.0150437E-7, 
2.0119078E-5, -6.2577996E-8, -6.2577996E-8, 2.6894044E-8, 2.6894044E-8, -8.947204E-8, -8.947204E-8, 
2.1164224E-5, -7.973521E-8, -7.973521E-8, 2.6894044E-8, 2.6894044E-8, -1.0662925E-7, -1.0662925E-7, 
2.2209371E-5, -7.3858125E-8, -7.3858125E-8, 5.378809E-8, 5.378809E-8, -1.2764622E-7, -1.2764622E-7, 
2.3254517E-5, -1.8801438E-7, -1.8801438E-7, 0.0, 0.0, -1.8801438E-7, -1.8801438E-7, 
2.4038378E-5, -2.169287E-7, -2.169287E-7, 0.0, 0.0, -2.169287E-7, -2.169287E-7, 
2.5083526E-5, -1.6429291E-7, -1.6429291E-7, 2.6894044E-8, 2.6894044E-8, -1.9118697E-7, -1.9118697E-7, 
2.6128671E-5, -1.3037632E-7, -1.3037632E-7, 0.0, 0.0, -1.3037632E-7, -1.3037632E-7, 
2.7173819E-5, -1.6679661E-7, -1.6679661E-7, 2.6894044E-8, 2.6894044E-8, -1.9369065E-7, -1.9369065E-7, 
2.8218965E-5, -2.4243846E-7, -2.4243846E-7, 0.0, 0.0, -2.4243846E-7, -2.4243846E-7, 
2.9002826E-5, -8.814537E-8, -8.814537E-8, 0.0, 0.0, -8.814537E-8, -8.814537E-8, 
3.0047971E-5, -1.07149404E-7, -1.07149404E-7, 0.0, 0.0, -1.07149404E-7, -1.07149404E-7, 
3.1093117E-5, -1.8152267E-7, -1.8152267E-7, 2.6894044E-8, 2.6894044E-8, -2.0841671E-7, -2.0841671E-7, 
3.2138265E-5, -9.916097E-8, -9.916097E-8, 0.0, 0.0, -9.916097E-8, -9.916097E-8, 
3.3183413E-5, -1.482913E-7, -1.482913E-7, 0.0, 0.0, -1.482913E-7, -1.482913E-7, 
3.422856E-5, -1.109244E-7, -1.109244E-7, 0.0, 0.0, -1.109244E-7, -1.109244E-7, 
3.501242E-5, -2.6615515E-7, -2.6615515E-7, 0.0, 0.0, -2.6615515E-7, -2.6615515E-7, 
3.6057565E-5, -2.7818453E-7, -2.7818453E-7, 0.0, 0.0, -2.7818453E-7, -2.7818453E-7, 
3.7102713E-5, -1.3529309E-7, -1.3529309E-7, 2.6894044E-8, 2.6894044E-8, -1.6218713E-7, -1.6218713E-7, 
3.814786E-5, -1.955889E-7, -1.955889E-7, 0.0, 0.0, -1.955889E-7, -1.955889E-7, 
3.9193008E-5, -1.8276062E-7, -1.8276062E-7, 0.0, 0.0, -1.8276062E-7, -1.8276062E-7, 
4.0238156E-5, -3.2169517E-8, -3.2169517E-8, 0.0, 0.0, -3.2169517E-8, -3.2169517E-8, 
4.1022013E-5, -2.168462E-7, -2.168462E-7, 0.0, 0.0, -2.168462E-7, -2.168462E-7, 
4.206716E-5, -1.13423894E-7, -1.13423894E-7, 0.0, 0.0, -1.13423894E-7, -1.13423894E-7, 
4.3112308E-5, -1.1997453E-7, -1.1997453E-7, 0.0, 0.0, -1.1997453E-7, -1.1997453E-7, 
4.4157456E-5, -2.4832676E-7, -2.4832676E-7, 2.6894044E-8, 2.6894044E-8, -2.7522083E-7, -2.7522083E-7, 
4.5202603E-5, -1.2948638E-7, -1.2948638E-7, 0.0, 0.0, -1.2948638E-7, -1.2948638E-7, 
4.6247747E-5, -1.2191559E-7, -1.2191559E-7, 0.0, 0.0, -1.2191559E-7, -1.2191559E-7, 
4.7031608E-5, -3.3894544E-8, -3.3894544E-8, 0.0, 0.0, -3.3894544E-8, -3.3894544E-8, 
4.8076756E-5, -1.3455082E-7, -1.3455082E-7, 0.0, 0.0, -1.3455082E-7, -1.3455082E-7, 
4.9121903E-5, -2.6437098E-7, -2.6437098E-7, 0.0, 0.0, -2.6437098E-7, -2.6437098E-7, 
5.016705E-5, -1.6399159E-7, -1.6399159E-7, 5.378809E-8, 5.378809E-8, -2.1777967E-7, -2.1777967E-7, 
5.1212195E-5, -1.6124335E-7, -1.6124335E-7, 0.0, 0.0, -1.6124335E-7, -1.6124335E-7, 
5.2257343E-5, -1.7058532E-8, -1.7058532E-8, 2.6894044E-8, 2.6894044E-8, -4.395258E-8, -4.395258E-8, 
5.3041204E-5, -2.1519483E-7, -2.1519483E-7, 3.5858726E-8, 3.5858726E-8, -2.5105354E-7, -2.5105354E-7, 
5.408635E-5, 1.6426526E-8, 1.6426526E-8, 5.378809E-8, 5.378809E-8, -3.7361566E-8, -3.7361566E-8, 
5.5131495E-5, -7.2233945E-8, -7.2233945E-8, 0.0, 0.0, -7.2233945E-8, -7.2233945E-8, 
5.6176643E-5, -8.0701994E-8, -8.0701994E-8, 2.6894044E-8, 2.6894044E-8, -1.0759604E-7, -1.0759604E-7, 
5.722179E-5, -4.4821768E-8, -4.4821768E-8, 0.0, 0.0, -4.4821768E-8, -4.4821768E-8, 
