Time (s) ,simulation time step (s)
2.6128671E-7, -6.582883
5.2257343E-7, -6.582883
7.838602E-7, -6.582883
1.0451469E-6, -6.582883
1.3064335E-6, -6.582883
1.5677203E-6, -6.582883
1.829007E-6, -6.582883
2.0902937E-6, -6.582883
2.3515804E-6, -6.582883
2.612867E-6, -6.582883
2.8741538E-6, -6.582883
3.1354407E-6, -6.582883
3.3967274E-6, -6.582883
3.658014E-6, -6.582883
3.9193005E-6, -6.582883
4.1805874E-6, -6.582883
4.4418744E-6, -6.582883
4.703161E-6, -6.582883
4.9644477E-6, -6.582883
5.225734E-6, -6.582883
5.487021E-6, -6.582883
5.7483076E-6, -6.582883
6.0095945E-6, -6.582883
6.2708814E-6, -6.582883
6.532168E-6, -6.582883
6.7934548E-6, -6.582883
7.054741E-6, -6.582883
7.316028E-6, -6.582883
7.5773146E-6, -6.582883
7.838601E-6, -6.582883
8.099888E-6, -6.582883
8.361175E-6, -6.582883
8.622462E-6, -6.582883
8.883749E-6, -6.582883
9.145035E-6, -6.582883
9.406322E-6, -6.582883
9.6676085E-6, -6.582883
9.928895E-6, -6.582883
1.01901815E-5, -6.582883
1.0451468E-5, -6.582883
1.0712755E-5, -6.582883
1.0974042E-5, -6.582883
1.1235329E-5, -6.582883
1.1496615E-5, -6.582883
1.1757902E-5, -6.582883
1.2019189E-5, -6.582883
1.2280476E-5, -6.582883
1.2541763E-5, -6.582883
1.2803049E-5, -6.582883
1.3064336E-5, -6.582883
1.3325623E-5, -6.582883
1.35869095E-5, -6.582883
1.38481955E-5, -6.582883
1.4109482E-5, -6.582883
1.4370769E-5, -6.582883
1.4632056E-5, -6.582883
1.4893343E-5, -6.582883
1.5154629E-5, -6.582883
1.5415917E-5, -6.582883
1.5677202E-5, -6.582883
1.5938489E-5, -6.582883
1.6199776E-5, -6.582883
1.6461063E-5, -6.582883
1.672235E-5, -6.582883
1.6983637E-5, -6.582883
1.7244924E-5, -6.582883
1.750621E-5, -6.582883
1.7767497E-5, -6.582883
1.8028783E-5, -6.582883
1.829007E-5, -6.582883
1.8551356E-5, -6.582883
1.8812643E-5, -6.582883
1.907393E-5, -6.582883
1.9335217E-5, -6.582883
1.9596504E-5, -6.582883
1.985779E-5, -6.582883
2.0119078E-5, -6.582883
2.0380363E-5, -6.582883
2.064165E-5, -6.582883
2.0902937E-5, -6.582883
2.1164224E-5, -6.582883
2.142551E-5, -6.582883
2.1686797E-5, -6.582883
2.1948084E-5, -6.582883
2.2209371E-5, -6.582883
2.2470658E-5, -6.582883
2.2731943E-5, -6.582883
2.299323E-5, -6.582883
2.3254517E-5, -6.582883
2.3515804E-5, -6.582883
2.3777091E-5, -6.582883
2.4038378E-5, -6.582883
2.4299665E-5, -6.582883
2.4560952E-5, -6.582883
2.4822239E-5, -6.582883
2.5083526E-5, -6.582883
2.534481E-5, -6.582883
2.5606098E-5, -6.582883
2.5867384E-5, -6.582883
2.6128671E-5, -6.582883
2.6389958E-5, -6.582883
2.6651245E-5, -6.582883
2.6912532E-5, -6.582883
2.7173819E-5, -6.582883
2.7435106E-5, -6.582883
2.7696391E-5, -6.582883
2.7957678E-5, -6.582883
2.8218965E-5, -6.582883
2.8480252E-5, -6.582883
2.8741539E-5, -6.582883
2.9002826E-5, -6.582883
2.9264113E-5, -6.582883
2.95254E-5, -6.582883
2.9786686E-5, -6.582883
3.0047971E-5, -6.582883
3.0309258E-5, -6.582883
3.0570547E-5, -6.582883
3.0831834E-5, -6.582883
3.1093117E-5, -6.582883
3.1354404E-5, -6.582883
3.161569E-5, -6.582883
3.1876978E-5, -6.582883
3.2138265E-5, -6.582883
3.2399552E-5, -6.582883
3.266084E-5, -6.582883
3.2922126E-5, -6.582883
3.3183413E-5, -6.582883
3.34447E-5, -6.582883
3.3705986E-5, -6.582883
3.3967273E-5, -6.582883
3.422856E-5, -6.582883
3.4489847E-5, -6.582883
3.4751134E-5, -6.582883
3.501242E-5, -6.582883
3.5273708E-5, -6.582883
3.5534995E-5, -6.582883
3.579628E-5, -6.582883
3.6057565E-5, -6.582883
3.6318852E-5, -6.582883
3.658014E-5, -6.582883
3.6841426E-5, -6.582883
3.7102713E-5, -6.582883
3.7364E-5, -6.582883
3.7625286E-5, -6.582883
3.7886573E-5, -6.582883
3.814786E-5, -6.582883
3.8409147E-5, -6.582883
3.8670434E-5, -6.582883
3.893172E-5, -6.582883
3.9193008E-5, -6.582883
3.9454295E-5, -6.582883
3.971558E-5, -6.582883
3.997687E-5, -6.582883
4.0238156E-5, -6.582883
4.0499443E-5, -6.582883
4.0760726E-5, -6.582883
4.1022013E-5, -6.582883
4.12833E-5, -6.582883
4.1544587E-5, -6.582883
4.1805873E-5, -6.582883
4.206716E-5, -6.582883
4.2328447E-5, -6.582883
4.2589734E-5, -6.582883
4.285102E-5, -6.582883
4.3112308E-5, -6.582883
4.3373595E-5, -6.582883
4.3634882E-5, -6.582883
4.389617E-5, -6.582883
4.4157456E-5, -6.582883
