#    time,   elecNode0ground, elecNode0surface, 
0.0, 0.0, 0.0, 
1.0451469E-6, -0.03661455, -0.036602885, 
2.0902937E-6, -0.073257186, -0.07324567, 
3.1354407E-6, -0.10552612, -0.10551461, 
4.1805874E-6, -0.13769527, -0.13768396, 
5.225734E-6, -0.1778927, -0.17788151, 
6.0095945E-6, -0.20556074, -0.20554955, 
7.054741E-6, -0.25486517, -0.2548543, 
8.099888E-6, -0.28134078, -0.28132996, 
9.145035E-6, -0.301966, -0.3019552, 
1.01901815E-5, -0.3316176, -0.3316069, 
1.1235329E-5, -0.37349743, -0.37348697, 
1.2019189E-5, -0.4025274, -0.40251666, 
1.3064336E-5, -0.4132115, -0.41320097, 
1.4109482E-5, -0.4361855, -0.43617478, 
1.5154629E-5, -0.4636076, -0.46359742, 
1.6199776E-5, -0.48753348, -0.48752332, 
1.7244924E-5, -0.5081611, -0.50815076, 
1.8028783E-5, -0.5374389, -0.537429, 
1.907393E-5, -0.54808944, -0.5480794, 
2.0119078E-5, -0.5546644, -0.55465394, 
2.1164224E-5, -0.5630137, -0.5630035, 
2.2209371E-5, -0.57075626, -0.5707465, 
2.3254517E-5, -0.5904342, -0.59042424, 
2.4038378E-5, -0.60749805, -0.6074881, 
2.5083526E-5, -0.62468064, -0.6246709, 
2.6128671E-5, -0.6383041, -0.6382946, 
2.7173819E-5, -0.65579814, -0.6557883, 
2.8218965E-5, -0.6811989, -0.6811886, 
2.9002826E-5, -0.688142, -0.6881323, 
3.0047971E-5, -0.6993931, -0.69938344, 
3.1093117E-5, -0.71837604, -0.718367, 
3.2138265E-5, -0.7287767, -0.72876745, 
3.3183413E-5, -0.7443458, -0.74433607, 
3.422856E-5, -0.7559916, -0.75598186, 
3.501242E-5, -0.77689654, -0.7768866, 
3.6057565E-5, -0.8060137, -0.8060037, 
3.7102713E-5, -0.8202111, -0.82020193, 
3.814786E-5, -0.8407218, -0.84071267, 
3.9193008E-5, -0.8599003, -0.8598912, 
4.0238156E-5, -0.86327904, -0.86326987, 
4.1022013E-5, -0.8803294, -0.8803201, 
4.206716E-5, -0.8922351, -0.8922261, 
4.3112308E-5, -0.9048169, -0.9048077, 
4.4157456E-5, -0.9307591, -0.9307505, 
4.5202603E-5, -0.94433576, -0.94432765, 
4.6247747E-5, -0.95713407, -0.95712525, 
4.7031608E-5, -0.95980495, -0.95979553, 
4.8076756E-5, -0.97391826, -0.9739097, 
4.9121903E-5, -1.001596, -1.0015881, 
5.016705E-5, -1.0187682, -1.0187595, 
5.1212195E-5, -1.0356649, -1.0356561, 
5.2257343E-5, -1.0374566, -1.0374478, 
5.3041204E-5, -1.0543758, -1.0543671, 
5.408635E-5, -1.0526415, -1.0526327, 
5.5131495E-5, -1.0602238, -1.0602155, 
5.6176643E-5, -1.0686527, -1.0686445, 
5.722179E-5, -1.0733578, -1.0733497, 
5.800565E-5, -1.0809928, -1.0809838, 
5.90508E-5, -1.0878282, -1.0878195, 
6.0095943E-5, -1.0989127, -1.0989045, 
6.1141094E-5, -1.1140159, -1.1140072, 
6.2186235E-5, -1.1200868, -1.1200789, 
6.323138E-5, -1.1417538, -1.1417453, 
6.401524E-5, -1.1463171, -1.146309, 
6.506039E-5, -1.1809186, -1.1809075, 
6.610554E-5, -1.185559, -1.1855476, 
6.7150686E-5, -1.1942015, -1.1941891, 
6.819583E-5, -1.2058917, -1.2058805, 
6.924098E-5, -1.2059624, -1.205951, 
7.002484E-5, -1.2059624, -1.205951, 
7.106999E-5, -1.2101704, -1.2101587, 
7.211513E-5, -1.219097, -1.2190856, 
7.316028E-5, -1.2257178, -1.2257062, 
7.4205425E-5, -1.2320937, -1.2320818, 
7.525057E-5, -1.2479665, -1.2479552, 
7.6034434E-5, -1.2491488, -1.249138, 
7.707958E-5, -1.260009, -1.2599981, 
7.812473E-5, -1.2673681, -1.267357, 
7.916988E-5, -1.2756723, -1.27566, 
8.0215024E-5, -1.2791404, -1.2791295, 
8.1260165E-5, -1.2867988, -1.2867873, 
8.2044025E-5, -1.2967668, -1.2967548, 
8.308917E-5, -1.3040403, -1.304029, 
8.413432E-5, -1.3040403, -1.304029, 
8.517947E-5, -1.308878, -1.3088664, 
8.6224616E-5, -1.3160306, -1.3160201, 
8.700848E-5, -1.3341573, -1.3341463, 
8.8053624E-5, -1.3341573, -1.3341463, 
8.909877E-5, -1.3415099, -1.3414985, 
9.014392E-5, -1.3491662, -1.3491547, 
9.118906E-5, -1.3564024, -1.3563906, 
9.223421E-5, -1.3535455, -1.3535348, 
9.301807E-5, -1.3677025, -1.3676921, 
9.4063216E-5, -1.378743, -1.3787317, 
9.5108364E-5, -1.3869368, -1.3869268, 
9.615351E-5, -1.3957669, -1.3957549, 
9.719866E-5, -1.3957669, -1.3957549, 
9.824381E-5, -1.4046794, -1.4046682, 
9.902767E-5, -1.4121205, -1.4121094, 
1.0E-4, -1.4204886, -1.420478, 
